Surname,Team,Position,Price,TP,Status,PPM,Captaincy_Coef,PP,Team_TLA,FDR_Horizon_5GW,Projected_Score,SPP,Final_Score
Roefs,Sunderland,GKP,4.7,54,OK,11.49,1.0,54.0,SUN,3.2,16.88,0.0,16.88
Raya,Arsenal,GKP,5.9,52,OK,8.81,1.0,52.0,ARS,2.4,21.67,0.0,21.67
Pope,Newcastle,GKP,5.2,49,OK,9.42,1.0,49.0,NEW,2.2,22.27,0.0,22.27
Vicario,Spurs,GKP,5.1,46,OK,9.02,1.0,46.0,TOT,3.0,15.33,0.0,15.33
Petrović,Bournemouth,GKP,4.5,39,OK,8.67,1.0,39.0,BOU,1.8,21.67,0.0,21.67
Henderson,Crystal Palace,GKP,5.0,36,OK,7.2,1.0,36.0,CRY,1.8,20.0,0.0,20.0
Pickford,Everton,GKP,5.5,35,OK,6.36,1.0,35.0,EVE,2.2,15.91,0.0,15.91
Dúbravka,Burnley,GKP,4.0,33,OK,8.25,1.0,33.0,BUR,2.4,13.75,0.0,13.75
Leno,Fulham,GKP,5.0,32,OK,6.4,1.0,32.0,FUL,2.6,12.31,0.0,12.31
Sánchez,Chelsea,GKP,4.8,31,OK,6.46,1.0,31.0,CHE,2.0,15.5,0.0,15.5
Kelleher,Brentford,GKP,4.5,30,OK,6.67,1.0,30.0,BRE,2.6,11.54,0.0,11.54
Martinez,Aston Villa,GKP,5.0,26,OK,5.2,1.0,26.0,AVL,2.4,10.83,0.0,10.83
Donnarumma,Man City,GKP,5.7,25,OK,4.39,1.0,25.0,MCI,2.4,10.42,0.0,10.42
Sels,Nott'm Forest,GKP,4.8,21,OK,4.38,1.0,21.0,NFO,2.0,10.5,0.0,10.5
Verbruggen,Brighton,GKP,4.4,20,OK,4.55,1.0,20.0,BHA,2.2,9.09,0.0,9.09
A.Becker,Liverpool,GKP,5.4,20,INJURY,3.7,1.0,20.0,LIV,2.0,10.0,0.0,10.0
Perri,Leeds,GKP,4.5,15,OK,3.33,1.0,15.0,LEE,3.0,5.0,0.0,5.0
