Surname,Team,Position,Price,TP,Status
Raya,Arsenal,GKP,5.9,66,OK
Roefs,Sunderland,GKP,4.7,63,OK
Henderson,Crystal Palace,GKP,5.1,60,OK
Pickford,Everton,GKP,5.5,60,OK
Pope,Newcastle,GKP,5.1,55,INJURY
Martinez,Aston Villa,GKP,5.1,54,DOUBT
Vicario,Spurs,GKP,5.0,51,OK
Sánchez,Chelsea,GKP,4.8,47,OK
Petrović,Bournemouth,GKP,4.5,45,OK
Verbruggen,Brighton,GKP,4.4,41,OK
Dúbravka,Burnley,GKP,4.0,40,OK
Leno,Fulham,GKP,4.9,40,OK
Kelleher,Brentford,GKP,4.5,38,OK
Sels,Nott'm Forest,GKP,4.7,38,OK
Donnarumma,Man City,GKP,5.7,37,OK
A.Becker,Liverpool,GKP,5.4,31,OK
Areola,West Ham,GKP,4.3,29,OK
Perri,Leeds,GKP,4.5,23,OK
Lammens,Man Utd,GKP,5.1,22,OK
Johnstone,Wolves,GKP,4.5,21,OK
Mamardashvili,Liverpool,GKP,4.3,19,OK
Trafford,Man City,GKP,4.6,11,OK
Bayindir,Man Utd,GKP,4.8,11,OK
Darlow,Leeds,GKP,4.0,10,OK
Hermansen,West Ham,GKP,4.3,9,OK
M.Bizot,Aston Villa,GKP,4.3,8,OK
José Sá,Wolves,GKP,4.3,5,OK
Ramsdale,Newcastle,GKP,4.8,3,OK
Jörgensen,Chelsea,GKP,4.3,1,OK
Arrizabalaga,Arsenal,GKP,4.2,0,OK
