Surname,Team,Position,Price,TP,Status
Haaland,Man City,FWD,14.1,151,OK
Thiago,Brentford,FWD,6.5,84,OK
Ekitiké,Liverpool,FWD,9.0,77,OK
Bowen,West Ham,FWD,7.6,75,OK
João Pedro,Chelsea,FWD,7.2,72,OK
Woltemade,Newcastle,FWD,7.4,71,OK
Calvert-Lewin,Leeds,FWD,5.8,70,OK
Mateta,Crystal Palace,FWD,7.7,65,OK
Richarlison,Spurs,FWD,6.4,65,OK
Welbeck,Brighton,FWD,6.4,59,DOUBT
Watkins,Aston Villa,FWD,8.5,55,OK
Isidor,Sunderland,FWD,5.4,48,OK
Gyökeres,Arsenal,FWD,8.8,46,OK
Evanilson,Bournemouth,FWD,7.0,46,OK
Raúl,Fulham,FWD,6.3,44,OK
Wilson,West Ham,FWD,5.8,44,OK
Flemming,Burnley,FWD,5.3,41,OK
Kroupi.Jr,Bournemouth,FWD,4.6,41,OK
Šeško,Man Utd,FWD,7.2,38,INJURY
Nmecha,Leeds,FWD,5.0,37,DOUBT
Foster,Burnley,FWD,4.9,36,INJURY
Igor Jesus,Nott'm Forest,FWD,5.8,33,OK
Strand Larsen,Wolves,FWD,6.1,30,OK
Isak,Liverpool,FWD,10.3,29,INJURY
Barry,Everton,FWD,5.7,27,OK
Beto,Everton,FWD,5.0,26,OK
Brobbey,Sunderland,FWD,5.5,25,OK
Wood,Nott'm Forest,FWD,7.2,25,DOUBT
Nketiah,Crystal Palace,FWD,5.4,22,OK
Toti,Wolves,FWD,5.4,21,OK
Zirkzee,Man Utd,FWD,5.8,20,OK
Broja,Burnley,FWD,5.2,19,INJURY
Osula,Newcastle,FWD,5.4,18,INJURY
Muniz,Fulham,FWD,5.3,17,INJURY
Mayenda,Sunderland,FWD,5.2,17,INJURY
Tzimas,Brighton,FWD,5.3,16,INJURY
Kolo Muani,Spurs,FWD,6.9,16,OK
Kostoulas,Brighton,FWD,4.8,12,OK
Delap,Chelsea,FWD,6.2,12,INJURY
Marc Guiu,Chelsea,FWD,4.2,12,OK
Füllkrug,West Ham,FWD,5.6,12,OK
Enes Ünal,Bournemouth,FWD,5.4,10,OK
Piroe,Leeds,FWD,4.9,10,INJURY
Mané,Wolves,FWD,4.5,9,OK
Kalimuendo,Nott'm Forest,FWD,6.0,8,OK
Uche,Crystal Palace,FWD,5.5,6,INJURY
Awoniyi,Nott'm Forest,FWD,5.2,5,INJURY
Kusi-Asare,Fulham,FWD,4.5,3,OK
Wissa,Newcastle,FWD,7.3,3,OK
G.Jesus,Arsenal,FWD,6.4,2,INJURY
Solanke,Spurs,FWD,7.2,2,DOUBT
Marshall,West Ham,FWD,4.3,2,INJURY
Havertz,Arsenal,FWD,7.3,1,OK
Barnes,Burnley,FWD,4.3,1,INJURY
Amdouni,Burnley,FWD,4.8,0,INJURY
Morgan,Brentford,FWD,4.4,0,INJURY
Marsh,Crystal Palace,FWD,4.5,0,INJURY
Gray,Leeds,FWD,4.5,0,INJURY
Danns,Liverpool,FWD,4.3,0,INJURY
Obi,Man Utd,FWD,4.2,0,INJURY
