Surname,Team,Position,Price,TP,Status
Semenyo,Bournemouth,MID,7.4,113,OK
B.Fernandes,Man Utd,MID,9.1,102,OK
Rice,Arsenal,MID,6.9,99,INJURY
Foden,Man City,MID,8.2,96,OK
Rogers,Aston Villa,MID,7.5,93,OK
Bruno G.,Newcastle,MID,6.8,86,OK
Saka,Arsenal,MID,10.3,91,DOUBT
Gravenberch,Liverpool,MID,5.7,89,OK
Wilson,Fulham,MID,5.8,87,OK
Garner,Everton,MID,5.1,85,OK
Xhaka,Sunderland,MID,5.2,82,OK
Neto,Chelsea,MID,7.2,81,OK
Stach,Leeds,MID,4.9,81,INJURY
Enzo,Chelsea,MID,6.4,80,OK
Tavernier,Bournemouth,MID,5.6,79,OK
Minteh,Brighton,MID,6.0,79,DOUBT
Trossard,Arsenal,MID,7.0,77,OK
Casemiro,Man Utd,MID,5.5,76,INJURY
Anderson,Nott'm Forest,MID,5.3,76,OK
Dewsbury-Hall,Everton,MID,5.0,75,OK
Mbeumo,Man Utd,MID,8.1,74,INJURY
Kudus,Spurs,MID,6.4,74,OK
Schade,Brentford,MID,7.1,73,INJURY
Ndiaye,Everton,MID,6.2,73,INJURY
Cherki,Man City,MID,6.8,71,OK
Cullen,Burnley,MID,5.0,70,INJURY
Zubimendi,Arsenal,MID,5.2,69,INJURY
J.Palhinha,Spurs,MID,5.5,69,OK
Grealish,Everton,MID,6.5,67,OK
Gakpo,Liverpool,MID,7.3,67,INJURY
E Le Fee,Sunderland,MID,4.9,67,OK
L.Paquetá,West Ham,MID,5.9,67,INJURY
Eze,Arsenal,MID,7.4,66,OK
Szoboszlai,Liverpool,MID,6.6,66,INJURY
Reijnders,Man City,MID,5.2,66,OK
Caicedo,Chelsea,MID,5.7,65,INJURY
O.Dango,Brentford,MID,5.8,64,INJURY
M.Salah,Liverpool,MID,14.0,64,INJURY
Gibbs-White,Nott'm Forest,MID,7.3,64,OK
Aaronson,Leeds,MID,5.4,63,OK
Anthony,Burnley,MID,5.1,61,OK
Doku,Man City,MID,6.4,60,OK
Wharton,Crystal Palace,MID,5.0,59,INJURY
Bentancur,Spurs,MID,5.3,59,OK
M.Fernandes,West Ham,MID,5.5,59,OK
Wieffer,Brighton,MID,4.9,58,OK
Ampadu,Leeds,MID,4.9,58,INJURY
Wirtz,Liverpool,MID,8.2,58,OK
Merino,Arsenal,MID,5.8,57,INJURY
Ugochukwu,Burnley,MID,5.0,56,OK
Scott,Bournemouth,MID,5.0,56,INJURY
Henderson,Brentford,MID,5.0,56,OK
Iwobi,Fulham,MID,6.3,56,INJURY
Sessegnon,Fulham,MID,5.4,56,INJURY
Amad,Man Utd,MID,6.3,56,INJURY
Buendía,Aston Villa,MID,5.3,55,INJURY
Cunha,Man City,MID,8.2,55,OK
Kamara,Aston Villa,MID,4.9,54,OK
Yarmoliuk,Brentford,MID,5.0,54,OK
Malen,Aston Villa,MID,5.1,53,INJURY
