Surname,Team,Position,CP,SP,PP,Status
Raya,Arsenal,GKP,6.0,6.0,6.0,OK
Dúbravka,Burnley,GKP,4.0,4.0,4.0,OK
J.Timber,Arsenal,DEF,6.4,6.0,5.6,OK
Senesi,Bournemouth,DEF,4.8,4.7,4.6,OK
Chalobah,Chelsea,DEF,5.6,5.4,5.3,OK
Guéhi,Crystal Palace,DEF,5.3,4.9,4.6,OK
Rúben,Man City,DEF,5.7,5.7,5.7,OK
Rice,Arsenal,MID,7.1,7.0,6.9,DOUBT
Semenyo,Bournemouth,MID,7.7,7.5,7.4,OK
Foden,Man City,MID,8.9,8.5,8.2,OK
B.Fernandes,Man Utd,MID,9.1,9.1,9.1,DOUBT
Bruno G.,Newcastle,MID,7.0,6.9,6.8,OK
Thiago,Brentford,FWD,6.9,6.7,6.5,OK
Marc Guiu,Chelsea,FWD,4.3,4.2,4.2,OK
Haaland,Man City,FWD,15.1,14.6,14.1,OK
