Surname,Team,Position,Price,TP,Status
Gabriel,Arsenal,DEF,6.6,106,OK
Chalobah,Chelsea,DEF,5.3,99,OK
Guéhi,Crystal Palace,DEF,4.6,99,OK
J.Timber,Arsenal,DEF,5.6,98,OK
Tarkowski,Everton,DEF,5.6,96,DOUBT
Rúben,Man City,DEF,5.7,95,OK
Matheus N.,Man City,DEF,5.4,92,OK
Keane,Everton,DEF,4.8,91,OK
Lacroix,Crystal Palace,DEF,5.1,90,INJURY
Muñoz,Crystal Palace,DEF,5.8,89,INJURY
Mukiele,Sunderland,DEF,4.3,89,OK
Van de Ven,Spurs,DEF,4.5,85,OK
Senesi,Bournemouth,DEF,4.6,82,OK
James,Chelsea,DEF,5.7,81,OK
Cash,Aston Villa,DEF,4.8,81,OK
Mitchell,Crystal Palace,DEF,5.0,79,OK
O'Reilly,Man City,DEF,5.3,78,INJURY
Calafiori,Arsenal,DEF,5.6,77,INJURY
Gvardiol,Man City,DEF,6.1,77,OK
Collins,Brentford,DEF,4.9,76,DOUBT
Thiaw,Newcastle,DEF,5.1,76,OK
Ballard,Sunderland,DEF,4.6,76,OK
Alderete,Sunderland,DEF,4.1,76,OK
Van Hecke,Brighton,DEF,4.5,75,INJURY
Richards,Crystal Palace,DEF,4.6,75,INJURY
Andersen,Fulham,DEF,4.6,74,OK
Pedro Porro,Spurs,DEF,5.2,74,OK
Virgil,Liverpool,DEF,5.9,73,DOUBT
Cucurella,Chelsea,DEF,6.1,72,DOUBT
Konaté,Liverpool,DEF,5.4,72,OK
Gusto,Chelsea,DEF,5.0,71,OK
Romero,Spurs,DEF,5.0,70,OK
Burn,Newcastle,DEF,5.0,67,INJURY
Truffert,Bournemouth,DEF,4.5,66,OK
O'Brien,Everton,DEF,4.9,65,OK
Tete,Fulham,DEF,4.5,65,OK
Hume,Sunderland,DEF,4.5,64,OK
Dalot,Man Utd,DEF,4.4,62,OK
Lewis-Potter,Brentford,DEF,4.9,59,OK
Kayode,Brentford,DEF,4.5,57,OK
Rodon,Leeds,DEF,3.9,57,INJURY
Struijk,Leeds,DEF,4.3,56,OK
Digne,Aston Villa,DEF,4.5,55,OK
Konsa,Aston Villa,DEF,4.4,55,OK
Bassey,Fulham,DEF,4.4,55,INJURY
N.Williams,Nott'm Forest,DEF,4.7,55,OK
Saliba,Arsenal,DEF,5.9,54,OK
F.Kadıoğlu,Brighton,DEF,4.4,54,OK
Mykolenko,Everton,DEF,4.9,54,OK
Van den Berg,Brentford,DEF,4.5,52,OK
Spence,Spurs,DEF,4.3,52,OK
Milenković,Fulham,DEF,5.1,50,DOUBT
Gudmundsson,Leeds,DEF,3.8,49,OK
De Cuyper,Brighton,DEF,4.3,48,OK
Schär,Newcastle,DEF,5.3,48,OK
Livramento,Newcastle,DEF,4.9,48,OK
Hartman,Burnley,DEF,4.0,46,OK
Dorgu,Man Utd,DEF,4.2,46,OK
Shaw,Man Utd,DEF,4.5,45,OK
Dunk,Brighton,DEF,4.5,45,OK
Diouf,West Ham,DEF,4.0,44,OK
