Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP
Roefs,Sunderland,GKP,4.9,93,OK,18.98,20.0,1.0,93.0
Pickford,Everton,GKP,5.6,87,OK,15.54,19.0,1.0,87.0
Raya,Arsenal,GKP,6.0,80,OK,13.33,12.0,1.0,80.0
Vicario,Spurs,GKP,4.8,74,OK,15.42,15.0,1.0,74.0
Sánchez,Chelsea,GKP,4.9,72,DOUBT,14.69,9.0,1.0,72.0
Henderson,Crystal Palace,GKP,5.1,72,OK,14.12,8.0,1.0,72.0
Kelleher,Brentford,GKP,4.5,68,OK,15.11,25.0,1.0,68.0
Donnarumma,Man City,GKP,5.7,68,OK,11.93,18.0,1.0,68.0
Verbruggen,Brighton,GKP,4.5,65,OK,14.44,20.0,1.0,65.0
Martinez,Aston Villa,GKP,5.0,63,OK,12.6,9.0,1.0,63.0
Pope,Newcastle,GKP,5.1,63,OK,12.35,63.0,1.0,63.0
Leno,Fulham,GKP,4.9,61,OK,12.45,16.0,1.0,61.0
Dúbravka,Burnley,GKP,4.0,60,OK,15.0,16.0,1.0,60.0
Petrović,Bournemouth,GKP,4.5,56,OK,12.44,3.0,1.0,56.0
A.Becker,Liverpool,GKP,5.4,52,OK,9.63,13.0,1.0,52.0
Perri,Leeds,GKP,4.5,42,OK,9.33,15.0,1.0,42.0
Areola,West Ham,GKP,4.3,42,OK,9.77,9.0,1.0,42.0
Sels,Nott'm Forest,GKP,4.6,41,OK,8.91,1.0,1.0,41.0
Lammens,Man Utd,GKP,5.0,40,OK,8.0,15.0,1.0,40.0
Johnstone,Wolves,GKP,4.4,21,OK,4.77,0.0,1.0,21.0
Mamardashvili,Liverpool,GKP,4.2,19,OK,4.52,0.0,1.0,19.0
José Sá,Wolves,GKP,4.2,18,OK,4.29,13.0,1.0,18.0
Trafford,Man City,GKP,4.5,11,OK,2.44,0.0,1.0,11.0
Bayindir,Man Utd,GKP,4.8,11,OK,2.29,0.0,1.0,11.0
Ramsdale,Newcastle,GKP,4.8,11,OK,2.29,4.0,1.0,11.0
John,Nott'm Forest,GKP,4.0,11,DOUBT,2.75,5.0,1.0,11.0
Darlow,Leeds,GKP,3.9,10,OK,2.56,0.0,1.0,10.0
M.Bizot,Aston Villa,GKP,4.2,9,OK,2.14,0.0,1.0,9.0
Hermansen,West Ham,GKP,4.2,9,OK,2.14,0.0,1.0,9.0
Jörgensen,Chelsea,GKP,4.3,3,OK,0.7,2.0,1.0,3.0
Gabriel,Arsenal,DEF,6.6,106,OK,16.06,106.0,1.0,106.0
Chalobah,Chelsea,DEF,5.3,99,OK,18.68,99.0,1.0,99.0
Guéhi,Crystal Palace,DEF,4.6,99,OK,21.52,7.0,1.0,99.0
J.Timber,Arsenal,DEF,5.6,98,OK,17.5,18.0,1.0,98.0
Tarkowski,Everton,DEF,5.6,96,DOUBT,17.14,22.0,1.0,96.0
Rúben,Man City,DEF,5.7,95,OK,16.67,20.0,1.0,95.0
Matheus N.,Man City,DEF,5.4,92,OK,17.04,24.0,1.0,92.0
Keane,Everton,DEF,4.8,91,OK,18.96,14.0,1.0,91.0
Mukiele,Sunderland,DEF,4.3,89,OK,20.7,25.0,1.0,89.0
Van de Ven,Spurs,DEF,4.5,85,OK,18.89,20.0,1.0,85.0
Senesi,Bournemouth,DEF,4.6,82,OK,17.83,10.0,1.0,82.0
James,Chelsea,DEF,5.7,81,OK,14.21,14.0,1.0,81.0
Cash,Aston Villa,DEF,4.8,81,OK,16.88,8.0,1.0,81.0
Mitchell,Crystal Palace,DEF,5.0,79,OK,15.8,8.0,1.0,79.0
Gvardiol,Man City,DEF,6.1,77,OK,12.62,16.0,1.0,77.0
Collins,Brentford,DEF,4.9,76,DOUBT,15.51,31.0,1.0,76.0
Thiaw,Newcastle,DEF,5.1,76,OK,14.9,24.0,1.0,76.0
Ballard,Sunderland,DEF,4.6,76,OK,16.52,10.0,1.0,76.0
