Surname,Team,Position,Price,TP,Status
Rice,Arsenal,MID,6.9,122,OK
Semenyo,Bournemouth,MID,7.4,120,OK
Bruno G.,Newcastle,MID,6.8,117,OK
B.Fernandes,Man Utd,MID,9.1,106,DOUBT
Wilson,Fulham,MID,5.9,102,OK
Rogers,Aston Villa,MID,7.5,101,OK
Foden,Man City,MID,8.2,100,OK
Saka,Arsenal,MID,10.2,98,OK
Garner,Everton,MID,5.1,95,OK
Gravenberch,Liverpool,MID,5.7,94,OK
Enzo,Chelsea,MID,6.4,92,OK
Neto,Chelsea,MID,7.1,88,OK
Xhaka,Sunderland,MID,5.2,88,OK
Stach,Leeds,MID,4.9,87,OK
Casemiro,Man Utd,MID,5.5,87,OK
Anderson,Nott'm Forest,MID,5.3,86,OK
Tavernier,Bournemouth,MID,5.5,86,OK
Schade,Brentford,MID,7.1,85,OK
Aaronson,Leeds,MID,5.4,84,INJURY
Gibbs-White,Nott'm Forest,MID,7.3,81,OK
Trossard,Arsenal,MID,6.9,80,DOUBT
Minteh,Brighton,MID,5.8,79,DOUBT
Reijnders,Man City,MID,5.2,79,INJURY
J.Palhinha,Spurs,MID,5.5,78,OK
Zubimendi,Arsenal,MID,5.2,77,INJURY
Grealish,Everton,MID,6.5,76,OK
Gakpo,Liverpool,MID,7.3,76,INJURY
Dewsbury-Hall,Everton,MID,4.9,75,INJURY
Cherki,Man City,MID,6.8,75,INJURY
Kudus,Spurs,MID,6.4,75,INJURY
Mbeumo,Man Utd,MID,8.1,74,INJURY
Ndiaye,Everton,MID,6.2,73,INJURY
Wirtz,Liverpool,MID,8.2,71,INJURY
Szoboszlai,Liverpool,MID,6.6,71,OK
E Le Fee,Sunderland,MID,4.9,71,OK
McGinn,Aston Villa,MID,5.4,70,OK
Cullen,Burnley,MID,5.0,70,INJURY
Anthony,Burnley,MID,5.1,69,OK
Caicedo,Chelsea,MID,5.7,69,INJURY
Doku,Man City,MID,6.4,69,OK
L.Paquetá,West Ham,MID,5.9,69,INJURY
Eze,Arsenal,MID,7.4,67,OK
Ayari,Brighton,MID,4.8,66,OK
Wharton,Crystal Palace,MID,5.0,66,INJURY
Cunha,Man City,MID,8.2,66,OK
Yarmoliuk,Brentford,MID,5.0,66,OK
Barnes,Newcastle,MID,6.1,65,OK
O.Dango,Brentford,MID,5.8,64,INJURY
M.Salah,Liverpool,MID,14.0,64,INJURY
Bentancur,Spurs,MID,5.3,64,INJURY
M.Fernandes,West Ham,MID,5.5,63,OK
Scott,Bournemouth,MID,5.0,62,OK
Kamara,Aston Villa,MID,4.9,61,OK
Ugochukwu,Burnley,MID,5.0,61,OK
Ampadu,Leeds,MID,4.9,61,INJURY
Georginio,Brighton,MID,5.6,60,OK
Merino,Arsenal,MID,5.6,58,INJURY
Buendía,Aston Villa,MID,5.3,58,INJURY
Henderson,Brentford,MID,5.0,58,OK
Wieffer,Brighton,MID,4.9,58,INJURY
Iwobi,Fulham,MID,6.3,56,OK
