Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score
Raya,Arsenal,GKP,6.0,109,OK,18.17,109,1.0,109.0,ARS,1143.8095238095239,1161.4761904761904,1161.4761904761904,0.09
Pickford,Everton,GKP,5.6,108,OK,19.29,108,1.0,108.0,EVE,1188.904761904762,1251.8095238095236,1251.8095238095236,0.09
Roefs,Sunderland,GKP,4.9,107,OK,21.84,107,1.0,107.0,SUN,1184.8095238095236,1215.1904761904761,1215.1904761904761,0.09
Kelleher,Brentford,GKP,4.6,96,OK,20.87,96,1.0,96.0,BRE,1193.5714285714284,1191.9999999999998,1191.9999999999998,0.08
Sánchez,Chelsea,GKP,4.9,93,OK,18.98,93,1.0,93.0,CHE,1156.0476190476188,1206.190476190476,1206.190476190476,0.08
Henderson,Crystal Palace,GKP,5.0,93,OK,18.6,93,1.0,93.0,CRY,1118.1904761904764,1116.6666666666665,1116.6666666666665,0.08
Martinez,Aston Villa,GKP,5.0,92,OK,18.4,92,1.0,92.0,AVL,1164.6190476190475,1205.8095238095236,1205.8095238095236,0.08
Donnarumma,Man City,GKP,5.6,91,OK,16.25,91,1.0,91.0,MCI,1139.0,1149.5714285714284,1149.5714285714284,0.08
Vicario,Spurs,GKP,4.7,83,OK,17.66,83,1.0,83.0,TOT,1267.8095238095239,1229.6190476190477,1229.6190476190477,0.07
Verbruggen,Brighton,GKP,4.5,79,OK,17.56,79,1.0,79.0,BHA,1221.904761904762,1234.952380952381,1234.952380952381,0.06
Pope,Newcastle,GKP,5.1,79,OK,15.49,79,1.0,79.0,NEW,1244.8095238095236,1307.3333333333335,1307.3333333333335,0.06
Dúbravka,Burnley,GKP,4.0,76,OK,19.0,76,1.0,76.0,BUR,1195.0,1241.7619047619048,1241.7619047619048,0.06
Petrović,Bournemouth,GKP,4.5,76,OK,16.89,76,1.0,76.0,BOU,1177.7619047619048,1187.047619047619,1187.047619047619,0.06
A.Becker,Liverpool,GKP,5.4,75,OK,13.89,75,1.0,75.0,LIV,1183.285714285714,1194.3333333333333,1194.3333333333333,0.06
Leno,Fulham,GKP,4.9,72,OK,14.69,72,1.0,72.0,FUL,1194.238095238095,1199.904761904762,1199.904761904762,0.06
Lammens,Man Utd,GKP,5.0,59,OK,11.8,59,1.0,59.0,MUN,1201.0,1213.4761904761904,1213.4761904761904,0.05
Areola,West Ham,GKP,4.3,51,OK,11.86,51,1.0,51.0,WHU,1173.3809523809525,1233.904761904762,1233.904761904762,0.04
Perri,Leeds,GKP,4.5,43,OK,9.56,43,1.0,43.0,LEE,1211.7142857142856,1220.5714285714284,1220.5714285714284,0.04
José Sá,Wolves,GKP,4.2,43,OK,10.24,43,1.0,43.0,WOL,1143.8095238095239,1157.8095238095239,1157.8095238095239,0.04
Darlow,Leeds,GKP,3.9,23,OK,5.9,23,1.0,23.0,LEE,1211.7142857142856,1220.5714285714284,1220.5714285714284,0.02
Hermansen,West Ham,GKP,4.2,21,OK,5.0,21,1.0,21.0,WHU,1173.3809523809525,1233.904761904762,1233.904761904762,0.02
Johnstone,Wolves,GKP,4.4,21,OK,4.77,21,1.0,21.0,WOL,1143.8095238095239,1157.8095238095239,1157.8095238095239,0.02
Mamardashvili,Liverpool,GKP,4.1,19,OK,4.63,19,1.0,19.0,LIV,1183.285714285714,1194.3333333333333,1194.3333333333333,0.02
Trafford,Man City,GKP,4.5,11,OK,2.44,11,1.0,11.0,MCI,1139.0,1149.5714285714284,1149.5714285714284,0.01
Bayindir,Man Utd,GKP,4.7,11,OK,2.34,11,1.0,11.0,MUN,1201.0,1213.4761904761904,1213.4761904761904,0.01
Ramsdale,Newcastle,GKP,4.8,11,OK,2.29,11,1.0,11.0,NEW,1244.8095238095236,1307.3333333333335,1307.3333333333335,0.01
Ortega Moreno,Nott'm Forest,GKP,4.7,8,OK,1.7,8,1.0,8.0,NFO,1211.1904761904761,1258.333333333333,1258.333333333333,0.01
Gabriel,Arsenal,DEF,7.1,142,OK,20.0,142,1.0,142.0,ARS,1143.8095238095239,1161.4761904761904,1161.4761904761904,0.12
J.Timber,Arsenal,DEF,6.4,124,OK,19.38,124,1.0,124.0,ARS,1143.8095238095239,1161.4761904761904,1161.4761904761904,0.11
Chalobah,Chelsea,DEF,5.8,124,OK,21.38,124,1.0,124.0,CHE,1156.0476190476188,1206.190476190476,1206.190476190476,0.1
Guéhi,Man City,DEF,5.2,124,OK,23.85,124,1.0,124.0,MCI,1139.0,1149.5714285714284,1149.5714285714284,0.11
Tarkowski,Everton,DEF,5.7,117,OK,20.53,117,1.0,117.0,EVE,1188.904761904762,1251.8095238095236,1251.8095238095236,0.09
Lacroix,Crystal Palace,DEF,5.1,116,OK,22.75,116,1.0,116.0,CRY,1118.1904761904764,1116.6666666666665,1116.6666666666665,0.1
Matheus N.,Man City,DEF,5.4,115,OK,21.3,115,1.0,115.0,MCI,1139.0,1149.5714285714284,1149.5714285714284,0.1
Mukiele,Sunderland,DEF,4.6,114,OK,24.78,114,1.0,114.0,SUN,1184.8095238095236,1215.1904761904761,1215.1904761904761,0.09
Virgil,Liverpool,DEF,5.9,111,OK,18.81,111,1.0,111.0,LIV,1183.285714285714,1194.3333333333333,1194.3333333333333,0.09
Senesi,Bournemouth,DEF,4.8,106,OK,22.08,106,1.0,106.0,BOU,1177.7619047619048,1187.047619047619,1187.047619047619,0.09
Keane,Everton,DEF,4.7,103,OK,21.91,103,1.0,103.0,EVE,1188.904761904762,1251.8095238095236,1251.8095238095236,0.08
Rúben,Man City,DEF,5.5,102,OK,18.55,102,1.0,102.0,MCI,1139.0,1149.5714285714284,1149.5714285714284,0.09
O'Reilly,Man City,DEF,4.9,100,OK,20.41,100,1.0,100.0,MCI,1139.0,1149.5714285714284,1149.5714285714284,0.09
Van de Ven,Spurs,DEF,4.5,100,OK,22.22,100,1.0,100.0,TOT,1267.8095238095239,1229.6190476190477,1229.6190476190477,0.08
Cash,Aston Villa,DEF,4.9,99,DOUBT,20.2,99,1.0,99.0,AVL,1164.6190476190475,1205.8095238095236,1205.8095238095236,0.08
Konaté,Liverpool,DEF,5.4,99,OK,18.33,99,1.0,99.0,LIV,1183.285714285714,1194.3333333333333,1194.3333333333333,0.08
Muñoz,Crystal Palace,DEF,5.9,98,OK,16.61,98,1.0,98.0,CRY,1118.1904761904764,1116.6666666666665,1116.6666666666665,0.09
James,Chelsea,DEF,5.6,97,OK,17.32,97,1.0,97.0,CHE,1156.0476190476188,1206.190476190476,1206.190476190476,0.08
Thiaw,Newcastle,DEF,5.0,97,OK,19.4,97,1.0,97.0,NEW,1244.8095238095236,1307.3333333333335,1307.3333333333335,0.07
Ballard,Sunderland,DEF,4.6,97,OK,21.09,97,1.0,97.0,SUN,1184.8095238095236,1215.1904761904761,1215.1904761904761,0.08
Mitchell,Crystal Palace,DEF,5.0,94,OK,18.8,94,1.0,94.0,CRY,1118.1904761904764,1116.6666666666665,1116.6666666666665,0.08
Richards,Crystal Palace,DEF,4.4,93,OK,21.14,93,1.0,93.0,CRY,1118.1904761904764,1116.6666666666665,1116.6666666666665,0.08
Collins,Brentford,DEF,5.0,92,OK,18.4,92,1.0,92.0,BRE,1193.5714285714284,1191.9999999999998,1191.9999999999998,0.08
Van Hecke,Brighton,DEF,4.4,92,OK,20.91,92,1.0,92.0,BHA,1221.904761904762,1234.952380952381,1234.952380952381,0.07
Truffert,Bournemouth,DEF,4.5,89,OK,19.78,89,1.0,89.0,BOU,1177.7619047619048,1187.047619047619,1187.047619047619,0.07
Andersen,Fulham,DEF,4.5,89,OK,19.78,89,1.0,89.0,FUL,1194.238095238095,1199.904761904762,1199.904761904762,0.07
Alderete,Sunderland,DEF,4.1,88,OK,21.46,88,1.0,88.0,SUN,1184.8095238095236,1215.1904761904761,1215.1904761904761,0.07
Calafiori,Arsenal,DEF,5.6,86,OK,15.36,86,1.0,86.0,ARS,1143.8095238095239,1161.4761904761904,1161.4761904761904,0.07
Dalot,Man Utd,DEF,4.5,86,OK,19.11,86,1.0,86.0,MUN,1201.0,1213.4761904761904,1213.4761904761904,0.07
