Surname,Team,Price,TP
João Pedro,Chelsea,7.7,26
Haaland,Man City,14.1,24
Ekitiké,Liverpool,8.7,22
Richarlison,Spurs,6.7,19
Wood,Nott'm Forest,7.7,17
Gyökeres,Arsenal,9,14
Thiago,Brentford,6,14
Isidor,Sunderland,5.5,14
Bowen,West Ham,7.8,13
Mayenda,Sunderland,5.5,12
Evanilson,Bournemouth,7,11
Foster,Burnley,5,10
Beto,Everton,5.4,9
Wilson,West Ham,5.9,9
Mateta,Crystal Palace,7.5,8
Muniz,Fulham,5.5,8
Nmecha,Leeds,5,8
Osula,Newcastle,5.5,8
Watkins,Aston Villa,8.9,6
Füllkrug,West Ham,5.8,5
Delap,Chelsea,6.3,4
Barry,Everton,5.9,4
Raúl,Fulham,6.4,4
Strand Larsen,Wolves,6.4,4
Kroupi Jr,Bournemouth,4.5,3
