Surname,Team,Price,TP,Position,PPM,Captaincy_Coef,PP,Team_TLA,FDR_Horizon_5GW,Projected_Score,SPP,Final_Score
Vicario,Spurs,5.0,21,GKP,4.2,1.0,21.0,TOT,2.4,8.75,0.0,8.75
Raya,Arsenal,5.5,18,GKP,3.27,1.0,18.0,ARS,3.2,5.62,0.0,5.62
Pickford,Everton,5.5,18,GKP,3.27,1.0,18.0,EVE,3.6,5.0,0.0,5.0
Pope,Newcastle,5.0,18,GKP,3.6,1.0,18.0,NEW,2.6,6.92,0.0,6.92
Sánchez,Chelsea,5.0,17,GKP,3.4,1.0,17.0,CHE,3.0,5.67,0.0,5.67
Roefs,Sunderland,4.5,17,GKP,3.78,1.0,17.0,SUN,2.6,6.54,0.0,6.54
Henderson,Crystal Palace,5.0,15,GKP,3.0,1.0,15.0,CRY,3.0,5.0,0.0,5.0
Petrović,Bournemouth,4.5,13,GKP,2.89,1.0,13.0,BOU,2.2,5.91,0.0,5.91
Perri,Leeds,4.5,12,GKP,2.67,1.0,12.0,LEE,2.8,4.29,0.0,4.29
Trafford,Man City,5.0,11,GKP,2.2,1.0,11.0,MCI,2.4,4.58,0.0,4.58
Dúbravka,Burnley,4.0,10,GKP,2.5,1.0,10.0,BUR,3.0,3.33,0.0,3.33
A.Becker,Liverpool,5.5,10,GKP,1.82,1.0,10.0,LIV,2.6,3.85,0.0,3.85
Leno,Fulham,5.0,8,GKP,1.6,1.0,8.0,FUL,3.0,2.67,0.0,2.67
Hermansen,West Ham,4.5,8,GKP,1.78,1.0,8.0,WHU,2.8,2.86,0.0,2.86
M.Bizot,Aston Villa,4.5,7,GKP,1.56,1.0,7.0,AVL,2.0,3.5,0.0,3.5
Kelleher,Brentford,4.5,7,GKP,1.56,1.0,7.0,BRE,3.2,2.19,0.0,2.19
Sels,Nott'm Forest,5.0,6,GKP,1.2,1.0,6.0,NFO,2.8,2.14,0.0,2.14
Verbruggen,Brighton,4.5,5,GKP,1.11,1.0,5.0,BHA,2.6,1.92,0.0,1.92
Bayindir,Man Utd,5.0,5,GKP,1.0,1.0,5.0,MUN,3.2,1.56,0.0,1.56
José Sá,Wolves,4.5,4,GKP,0.89,1.0,4.0,WOL,2.4,1.67,0.0,1.67
Martinez,Aston Villa,5.0,2,GKP,0.4,1.0,2.0,AVL,2.0,1.0,0.0,1.0
Arrizabalaga,Arsenal,4.4,0,GKP,0.0,1.0,0.0,ARS,3.2,0.0,0.0,0.0
Setford,Arsenal,4.0,0,GKP,0.0,1.0,0.0,ARS,3.2,0.0,0.0,0.0
Wright,Aston Villa,4.0,0,GKP,0.0,1.0,0.0,AVL,2.0,0.0,0.0,0.0
Calafiori,Arsenal,5.7,28,DEF,4.91,1.2,33.6,ARS,3.2,10.5,0.0,10.5
Chalobah,Chelsea,5.1,27,DEF,5.29,1.2,32.4,CHE,3.0,10.8,0.0,10.8
J.Timber,Arsenal,5.6,26,DEF,4.64,1.0,26.0,ARS,3.2,8.12,0.0,8.12
Senesi,Bournemouth,4.6,25,DEF,5.43,1.0,25.0,BOU,2.2,11.36,0.0,11.36
Guéhi,Crystal Palace,4.6,23,DEF,5.0,1.0,23.0,CRY,3.0,7.67,0.0,7.67
Lacroix,Crystal Palace,5.0,22,DEF,4.4,1.0,22.0,CRY,3.0,7.33,0.0,7.33
Cucurella,Chelsea,6.1,19,DEF,3.11,1.0,19.0,CHE,3.0,6.33,0.0,6.33
Muñoz,Crystal Palace,5.5,19,DEF,3.45,1.0,19.0,CRY,3.0,6.33,0.0,6.33
Livramento,Newcastle,5.1,19,DEF,3.73,1.0,19.0,NEW,2.6,7.31,0.0,7.31
Ballard,Sunderland,4.6,18,DEF,3.91,1.0,18.0,SUN,2.6,6.92,0.0,6.92
Gudmundsson,Leeds,4.0,17,DEF,4.25,1.0,17.0,LEE,2.8,6.07,0.75,6.34
Burn,Newcastle,5.0,17,DEF,3.4,1.0,17.0,NEW,2.6,6.54,0.0,6.54
Saliba,Arsenal,6.1,16,DEF,2.62,1.0,16.0,ARS,3.2,5.0,0.0,5.0
Diakité,Bournemouth,4.5,16,DEF,3.56,1.0,16.0,BOU,2.2,7.27,0.0,7.27
Mitchell,Crystal Palace,5.0,16,DEF,3.2,1.0,16.0,CRY,3.0,5.33,0.0,5.33
Richards,Crystal Palace,4.5,16,DEF,3.56,1.0,16.0,CRY,3.0,5.33,0.0,5.33
Rodon,Leeds,4.0,16,DEF,4.0,1.0,16.0,LEE,2.8,5.71,0.0,5.71
Tarkowski,Everton,5.5,15,DEF,2.73,1.0,15.0,EVE,3.6,4.17,0.0,4.17
Schär,Newcastle,5.5,15,DEF,2.73,1.0,15.0,NEW,2.6,5.77,3.75,7.21
Pedro Porro,Spurs,5.6,15,DEF,2.68,1.0,15.0,TOT,2.4,6.25,4.0,7.92
Romero,Spurs,5.0,15,DEF,3.0,1.0,15.0,TOT,2.4,6.25,0.0,6.25
Gabriel,Arsenal,6.1,14,DEF,2.3,1.0,14.0,ARS,3.2,4.38,0.0,4.38
Van den Berg,Brentford,4.5,14,DEF,3.11,1.0,14.0,BRE,3.2,4.38,0.0,4.38
Struijk,Leeds,4.5,14,DEF,3.11,1.0,14.0,LEE,2.8,5.0,2.5,5.89
Enzo,Chelsea,6.6,25,MID,3.79,1.2,30.0,CHE,3.0,10.0,0.0,10.0
Semenyo,Bournemouth,7.4,23,MID,3.11,1.0,23.0,BOU,2.2,10.45,2.5,11.59
Grealish,Everton,6.7,22,MID,3.28,1.0,22.0,EVE,3.6,6.11,0.0,6.11
Anthony,Burnley,5.5,21,MID,3.82,1.0,21.0,BUR,3.0,7.0,1.25,7.42
L.Paquetá,West Ham,5.9,21,MID,3.56,1.0,21.0,WHU,2.8,7.5,0.0,7.5
Cullen,Burnley,5.0,20,MID,4.0,1.0,20.0,BUR,3.0,6.67,0.75,6.92
Gakpo,Liverpool,7.7,20,MID,2.6,1.0,20.0,LIV,2.6,7.69,2.5,8.65
Tavernier,Bournemouth,5.5,18,MID,3.27,1.0,18.0,BOU,2.2,8.18,3.25,9.66
Sarr,Crystal Palace,6.5,18,MID,2.77,1.0,18.0,CRY,3.0,6.0,0.0,6.0
Johnson,Spurs,7.1,18,MID,2.54,1.0,18.0,TOT,2.4,7.5,0.0,7.5
Caicedo,Chelsea,5.5,17,MID,3.09,1.0,17.0,CHE,3.0,5.67,0.0,5.67
Ndiaye,Everton,6.5,17,MID,2.62,1.0,17.0,EVE,3.6,4.72,5.0,6.11
Szoboszlai,Liverpool,6.5,17,MID,2.62,1.0,17.0,LIV,2.6,6.54,3.25,7.79
Ndoye,Nott'm Forest,6.1,17,MID,2.79,1.0,17.0,NFO,2.8,6.07,0.0,6.07
Rice,Arsenal,6.5,16,MID,2.46,1.0,16.0,ARS,3.2,5.0,4.0,6.25
Dewsbury-Hall,Everton,5.0,16,MID,3.2,1.0,16.0,EVE,3.6,4.44,1.5,4.86
Garner,Everton,5.0,16,MID,3.2,1.0,16.0,EVE,3.6,4.44,2.0,5.0
M.Salah,Liverpool,14.5,16,MID,1.1,1.5,24.0,LIV,2.6,9.23,6.25,11.63
O.Dango,Brentford,6.0,15,MID,2.5,1.0,15.0,BRE,3.2,4.69,0.0,4.69
Kudus,Spurs,6.6,15,MID,2.27,1.0,15.0,TOT,2.4,6.25,0.75,6.56
Reijnders,Man City,5.7,14,MID,2.46,1.0,14.0,MCI,2.4,5.83,1.5,6.46
Mbeumo,Man Utd,8.1,14,MID,1.73,1.0,14.0,MUN,3.2,4.38,2.0,5.0
B.Fernandes,Man Utd,9.0,14,MID,1.56,1.0,14.0,MUN,3.2,4.38,0.0,4.38
Hudson-Odoi,Nott'm Forest,6.0,14,MID,2.33,1.0,14.0,NFO,2.8,5.0,0.75,5.27
João Pedro,Chelsea,7.7,26,FWD,3.38,1.2,31.2,CHE,3.0,10.4,0.0,10.4
Haaland,Man City,14.1,24,FWD,1.7,1.5,36.0,MCI,2.4,15.0,6.25,17.6
Ekitiké,Liverpool,8.7,22,FWD,2.53,1.2,26.4,LIV,2.6,10.15,0.0,10.15
Richarlison,Spurs,6.7,19,FWD,2.84,1.0,19.0,TOT,2.4,7.92,2.5,8.96
Wood,Nott'm Forest,7.7,17,FWD,2.21,1.0,17.0,NFO,2.8,6.07,5.0,7.86
Gyökeres,Arsenal,9.0,14,FWD,1.56,1.0,14.0,ARS,3.2,4.38,0.0,4.38
Thiago,Brentford,6.0,14,FWD,2.33,1.0,14.0,BRE,3.2,4.38,5.0,5.94
Isidor,Sunderland,5.5,14,FWD,2.55,1.0,14.0,SUN,2.6,5.38,0.0,5.38
Bowen,West Ham,7.8,13,FWD,1.67,1.0,13.0,WHU,2.8,4.64,4.5,6.25
Mayenda,Sunderland,5.5,12,FWD,2.18,1.0,12.0,SUN,2.6,4.62,2.5,5.58
Evanilson,Bournemouth,7.0,11,FWD,1.57,1.0,11.0,BOU,2.2,5.0,2.5,6.14
Foster,Burnley,5.0,10,FWD,2.0,1.0,10.0,BUR,3.0,3.33,0.0,3.33
Beto,Everton,5.4,9,FWD,1.67,1.0,9.0,EVE,3.6,2.5,2.5,3.19
Wilson,West Ham,5.9,9,FWD,1.53,1.0,9.0,WHU,2.8,3.21,0.0,3.21
Mateta,Crystal Palace,7.5,8,FWD,1.07,1.0,8.0,CRY,3.0,2.67,5.0,4.33
Muniz,Fulham,5.5,8,FWD,1.45,1.0,8.0,FUL,3.0,2.67,0.0,2.67
Nmecha,Leeds,5.0,8,FWD,1.6,1.0,8.0,LEE,2.8,2.86,5.0,4.64
Osula,Newcastle,5.5,8,FWD,1.45,1.0,8.0,NEW,2.6,3.08,0.0,3.08
Watkins,Aston Villa,8.9,6,FWD,0.67,1.0,6.0,AVL,2.0,3.0,5.0,5.5
Füllkrug,West Ham,5.8,5,FWD,0.86,1.0,5.0,WHU,2.8,1.79,0.0,1.79
Delap,Chelsea,6.3,4,FWD,0.63,1.0,4.0,CHE,3.0,1.33,0.0,1.33
Barry,Everton,5.9,4,FWD,0.68,1.0,4.0,EVE,3.6,1.11,0.0,1.11
Raúl,Fulham,6.4,4,FWD,0.62,1.0,4.0,FUL,3.0,1.33,0.0,1.33
Strand Larsen,Wolves,6.4,4,FWD,0.62,1.0,4.0,WOL,2.4,1.67,0.0,1.67
Kroupi Jr,Bournemouth,4.5,3,FWD,0.67,1.0,3.0,BOU,2.2,1.36,0.0,1.36
