Surname,Team,Price,TP
Vicario,Spurs,5,21
Raya,Arsenal,5.5,18
Pickford,Everton,5.5,18
Pope,Newcastle,5,18
Sánchez,Chelsea,5,17
Roefs,Sunderland,4.5,17
Henderson,Crystal Palace,5,15
Petrović,Bournemouth,4.5,13
Perri,Leeds,4.5,12
Trafford,Man City,5,11
Dúbravka,Burnley,4,10
A.Becker,Liverpool,5.5,10
Leno,Fulham,5,8
Hermansen,West Ham,4.5,8
M.Bizot,Aston Villa,4.5,7
Kelleher,Brentford,4.5,7
Sels,Nott'm Forest,5,6
Verbruggen,Brighton,4.5,5
Bayindir,Man Utd,5,5
José Sá,Wolves,4.5,4
Martinez,Aston Villa,5,2
Arrizabalaga,Arsenal,4.4,0
Setford,Arsenal,4,0
Wright,Aston Villa,4,0
