Surname,Team,Position,Price,TP,PPM,Captaincy_Coef,PP
Vicario,Spurs,GKP,5.1,29,5.69,1.0,29.0
Roefs,Sunderland,GKP,4.5,27,6.0,1.0,27.0
Pope,Newcastle,GKP,5.0,26,5.2,1.0,26.0
Raya,Arsenal,GKP,5.5,24,4.36,1.0,24.0
Pickford,Everton,GKP,5.5,24,4.36,1.0,24.0
Henderson,Crystal Palace,GKP,5.0,21,4.2,1.0,21.0
Sánchez,Chelsea,GKP,5.0,19,3.8,1.0,19.0
Leno,Fulham,GKP,5.0,16,3.2,1.0,16.0
A.Becker,Liverpool,GKP,5.5,16,2.91,1.0,16.0
Petrović,Bournemouth,GKP,4.5,15,3.33,1.0,15.0
Dúbravka,Burnley,GKP,4.0,13,3.25,1.0,13.0
Perri,Leeds,GKP,4.5,12,2.67,1.0,12.0
Trafford,Man City,GKP,4.9,11,2.24,1.0,11.0
Kelleher,Brentford,GKP,4.5,9,2.0,1.0,9.0
Hermansen,West Ham,GKP,4.5,9,2.0,1.0,9.0
Martinez,Aston Villa,GKP,5.0,8,1.6,1.0,8.0
M.Bizot,Aston Villa,GKP,4.5,7,1.56,1.0,7.0
Verbruggen,Brighton,GKP,4.5,7,1.56,1.0,7.0
Bayindir,Man Utd,GKP,5.0,7,1.4,1.0,7.0
Sels,Nott'm Forest,GKP,5.0,7,1.4,1.0,7.0
Donnarumma,Man City,GKP,5.5,6,1.09,1.0,6.0
José Sá,Wolves,GKP,4.5,4,0.89,1.0,4.0
Darlow,Leeds,GKP,4.0,3,0.75,1.0,3.0
Johnstone,Wolves,GKP,4.5,3,0.67,1.0,3.0
Arrizabalaga,Arsenal,GKP,4.4,0,0.0,1.0,0.0
Setford,Arsenal,GKP,4.0,0,0.0,1.0,0.0
Wright,Aston Villa,GKP,4.0,0,0.0,1.0,0.0
Proctor,Aston Villa,GKP,4.0,0,0.0,1.0,0.0
J.Timber,Arsenal,DEF,5.7,34,5.96,1.0,34.0
Calafiori,Arsenal,DEF,5.7,33,5.79,1.2,39.6
Chalobah,Chelsea,DEF,5.1,30,5.88,1.2,36.0
Guéhi,Crystal Palace,DEF,4.7,29,6.17,1.0,29.0
