Surname,Team,Position,Price,TP
Chalobah,Chelsea,DEF,5.1,38
Senesi,Bournemouth,DEF,4.8,37
Guéhi,Crystal Palace,DEF,4.7,36
Calafiori,Arsenal,DEF,5.7,35
J.Timber,Arsenal,DEF,5.8,35
Burn,Newcastle,DEF,5.0,32
Livramento,Newcastle,DEF,5.1,31
Lacroix,Crystal Palace,DEF,5.1,30
Mitchell,Crystal Palace,DEF,5.0,30
Romero,Spurs,DEF,5.1,29
Van de Ven,Spurs,DEF,4.7,28
Muñoz,Crystal Palace,DEF,5.6,26
Richards,Crystal Palace,DEF,4.5,26
Tarkowski,Everton,DEF,5.5,26
Virgil,Liverpool,DEF,6.1,26
Gabriel,Arsenal,DEF,6.1,25
Cash,Aston Villa,DEF,4.6,25
Truffert,Bournemouth,DEF,4.5,24
Andersen,Fulham,DEF,4.5,23
Schär,Newcastle,DEF,5.5,23
Mings,Aston Villa,DEF,4.5,22
Rodon,Leeds,DEF,4.0,22
Alderete,Sunderland,DEF,4.0,22
Pedro Porro,Spurs,DEF,5.6,22
Diakité,Bournemouth,DEF,4.5,21
Gudmundsson,Spurs,DEF,4.0,21
Trippier,Newcastle,DEF,5.0,21
Konaté,Liverpool,DEF,5.5,20
Ekdal,Burnley,DEF,4.0,19
Ballard,Sunderland,DEF,4.6,19
Hume,Sunderland,DEF,4.5,19
Spence,Spurs,DEF,4.5,19
Saliba,Arsenal,DEF,6.0,18
Mukiele,Sunderland,DEF,4.0,18
Diouf,West Ham,DEF,4.4,18
Bassey,Fulham,DEF,4.5,17
Bogle,Leeds,DEF,4.5,17
Botman,Newcastle,DEF,4.9,17
Estève,Burnley,DEF,4.0,16
Van den Berg,Brentford,DEF,4.5,16
O'Brien,Everton,DEF,5.0,16
Rúben,Man City,DEF,5.5,16
Digne,Aston Villa,DEF,4.5,15
Collins,Brentford,DEF,5.0,15
Lewis-Potter,Brentford,DEF,5.0,15
Kayode,Brentford,DEF,4.5,15
Tete,Fulham,DEF,4.5,15
De Ligt,Man Utd,DEF,5.0,15
Hartman,Burnley,DEF,4.0,14
Maguire,Man Utd,DEF,4.4,14
N.Williams,Nott'm Forest,DEF,5.0,14
Reinildo,Sunderland,DEF,4.0,14
Dunk,Brighton,DEF,4.5,13
Lewis,Man City,DEF,5.0,13
