Surname,Team,Position,Price,TP
Haaland,Man City,FWD,14.3,46
João Pedro,Chelsea,FWD,7.8,35
Ekitiké,Liverpool,FWD,8.7,32
Richarlison,Spurs,FWD,6.7,29
Isidor,Sunderland,FWD,5.5,25
Bowen,West Ham,FWD,7.7,24
Gyökeres,Arsenal,FWD,9.0,22
Wood,Nott'm Forest,FWD,7.6,20
Foster,Burnley,FWD,5.0,18
Evanilson,Bournemouth,FWD,7.0,18
Thiago,Brentford,FWD,6.0,17
Mateta,Crystal Palace,FWD,7.6,16
Muniz,Fulham,FWD,5.5,15
Calvert-Lewin,Leeds,FWD,5.5,14
Mayenda,Sunderland,FWD,5.5,13
Beto,Everton,FWD,5.4,12
Woltemade,Newcastle,FWD,7.1,11
Wilson,West Ham,FWD,5.9,11
Watkins,Aston Villa,FWD,8.8,10
Nmecha,Leeds,FWD,5.0,10
Osula,Newcastle,FWD,5.5,10
Welbeck,Brighton,FWD,6.3,6
Barry,Everton,FWD,5.8,6
Raúl,Fulham,FWD,6.3,6
Šeško,Man Utd,FWD,7.3,6
Füllkrug,West Ham,FWD,5.7,6
Strand Larsen,Wolves,FWD,6.4,5
Delap,Chelsea,FWD,6.2,4
