Surname,Team,Position,Price,TP,PPM,Captaincy_Coef,PP,Team_TLA,FDR_Horizon_5GW,Projected_Score,SPP,Final_Score
Pope,Newcastle,GKP,5.0,32,6.4,1.0,32.0,NEW,2.8,11.43,0.0,11.43
Vicario,Spurs,GKP,5.1,30,5.88,1.0,30.0,TOT,2.4,12.5,0.0,12.5
Roefs,Sunderland,GKP,4.5,29,6.44,1.0,29.0,SUN,2.6,11.15,0.0,11.15
Raya,Arsenal,GKP,5.5,26,4.73,1.0,26.0,ARS,2.2,11.82,0.0,11.82
Pickford,Everton,GKP,5.5,25,4.55,1.0,25.0,EVE,2.8,8.93,0.0,8.93
Henderson,Crystal Palace,GKP,5.0,22,4.4,1.0,22.0,CRY,3.4,6.47,0.0,6.47
Petrović,Bournemouth,GKP,4.5,21,4.67,1.0,21.0,BOU,2.4,8.75,0.0,8.75
A.Becker,Liverpool,GKP,5.5,18,3.27,1.0,18.0,LIV,3.0,6.0,0.0,6.0
Dúbravka,Burnley,GKP,4.0,17,4.25,1.0,17.0,BUR,3.2,5.31,0.0,5.31
Leno,Fulham,GKP,5.0,17,3.4,1.0,17.0,FUL,2.8,6.07,0.0,6.07
Sánchez,Chelsea,GKP,5.0,16,3.2,1.0,16.0,CHE,2.8,5.71,0.0,5.71
Perri,Leeds,GKP,4.5,12,2.67,1.0,12.0,LEE,2.0,6.0,0.0,6.0
Martinez,Aston Villa,GKP,5.0,11,2.2,1.0,11.0,AVL,3.4,3.24,0.0,3.24
Trafford,Man City,GKP,4.9,11,2.24,1.0,11.0,MCI,2.2,5.0,0.0,5.0
Kelleher,Brentford,GKP,4.5,10,2.22,1.0,10.0,BRE,3.6,2.78,0.0,2.78
Sels,Nott'm Forest,GKP,5.0,10,2.0,1.0,10.0,NFO,2.6,3.85,0.0,3.85
Bayindir,Man Utd,GKP,5.0,9,1.8,1.0,9.0,MUN,2.8,3.21,0.0,3.21
Hermansen,West Ham,GKP,4.5,9,2.0,1.0,9.0,WHU,2.8,3.21,0.0,3.21
Verbruggen,Brighton,GKP,4.5,8,1.78,1.0,8.0,BHA,2.4,3.33,0.0,3.33
M.Bizot,Aston Villa,GKP,4.5,7,1.56,1.0,7.0,AVL,3.4,2.06,0.0,2.06
Donnarumma,Man City,GKP,5.6,7,1.25,1.0,7.0,MCI,2.2,3.18,0.0,3.18
Darlow,Leeds,GKP,4.0,6,1.5,1.0,6.0,LEE,2.0,3.0,0.0,3.0
José Sá,Wolves,GKP,4.5,5,1.11,1.0,5.0,WOL,2.2,2.27,0.0,2.27
