Surname,Team,Position,Price,TP,PPM
Pope,Newcastle,GKP,5.0,32,6.4
Vicario,Spurs,GKP,5.1,30,5.88
Roefs,Sunderland,GKP,4.5,29,6.44
Raya,Arsenal,GKP,5.5,26,4.73
Pickford,Everton,GKP,5.5,25,4.55
Henderson,Crystal Palace,GKP,5.0,22,4.4
Petrović,Bournemouth,GKP,4.5,21,4.67
A.Becker,Liverpool,GKP,5.5,18,3.27
Dúbravka,Burnley,GKP,4.0,17,4.25
Leno,Fulham,GKP,5.0,17,3.4
Sánchez,Chelsea,GKP,5.0,16,3.2
Perri,Leeds,GKP,4.5,12,2.67
Martinez,Aston Villa,GKP,5.0,11,2.2
Trafford,Man City,GKP,4.9,11,2.24
Kelleher,Brentford,GKP,4.5,10,2.22
Sels,Nott'm Forest,GKP,5.0,10,2.0
Bayindir,Man Utd,GKP,5.0,9,1.8
Hermansen,West Ham,GKP,4.5,9,2.0
Verbruggen,Brighton,GKP,4.5,8,1.78
M.Bizot,Aston Villa,GKP,4.5,7,1.56
Donnarumma,Man City,GKP,5.6,7,1.25
Darlow,Leeds,GKP,4.0,6,1.5
José Sá,Wolves,GKP,4.5,5,1.11
Johnstone,Wolves,GKP,4.5,3,0.67
Jörgensen,Chelsea,GKP,4.4,1,0.23
Areola,West Ham,GKP,4.4,1,0.23
Arrizabalaga,Arsenal,GKP,4.4,0,0.0
Chalobah,Chelsea,DEF,5.1,38,7.45
Senesi,Bournemouth,DEF,4.8,37,7.71
Guéhi,Crystal Palace,DEF,4.7,36,7.66
Calafiori,Arsenal,DEF,5.7,35,6.14
J.Timber,Arsenal,DEF,5.8,35,6.03
Burn,Newcastle,DEF,5.0,32,6.4
Livramento,Newcastle,DEF,5.1,31,6.08
Lacroix,Crystal Palace,DEF,5.1,30,5.88
Mitchell,Crystal Palace,DEF,5.0,30,6.0
Romero,Spurs,DEF,5.1,29,5.69
Van de Ven,Spurs,DEF,4.7,28,5.96
Muñoz,Crystal Palace,DEF,5.6,26,4.64
Richards,Crystal Palace,DEF,4.5,26,5.78
Tarkowski,Everton,DEF,5.5,26,4.73
Virgil,Liverpool,DEF,6.1,26,4.26
Gabriel,Arsenal,DEF,6.1,25,4.1
Cash,Aston Villa,DEF,4.6,25,5.43
Truffert,Bournemouth,DEF,4.5,24,5.33
Andersen,Fulham,DEF,4.5,23,5.11
Schär,Newcastle,DEF,5.5,23,4.18
Mings,Aston Villa,DEF,4.5,22,4.89
Rodon,Leeds,DEF,4.0,22,5.5
Alderete,Sunderland,DEF,4.0,22,5.5
Pedro Porro,Spurs,DEF,5.6,22,3.93
Diakité,Bournemouth,DEF,4.5,21,4.67
Gudmundsson,Spurs,DEF,4.0,21,5.25
Trippier,Newcastle,DEF,5.0,21,4.2
Konaté,Liverpool,DEF,5.5,20,3.64
Ekdal,Burnley,DEF,4.0,19,4.75
Ballard,Sunderland,DEF,4.6,19,4.13
Hume,Sunderland,DEF,4.5,19,4.22
Spence,Spurs,DEF,4.5,19,4.22
Saliba,Arsenal,DEF,6.0,18,3.0
Mukiele,Sunderland,DEF,4.0,18,4.5
Diouf,West Ham,DEF,4.4,18,4.09
Bassey,Fulham,DEF,4.5,17,3.78
