Surname,Team,Position,Price,TP
Semenyo,Bournemouth,MID,7.7,41
Anthony,Burnley,MID,5.5,34
Caicedo,Chelsea,MID,5.6,33
Enzo,Chelsea,MID,6.7,30
M.Salah,Liverpool,MID,14.5,30
Stach,Leeds,MID,5.0,29
Ndiaye,Everton,MID,6.5,28
Zubimendi,Arsenal,MID,5.4,27
Cullen,Burnley,MID,5.0,27
Gravenberch,Liverpool,MID,5.6,27
Iwobi,Fulham,MID,6.5,26
Reijnders,Man City,MID,5.6,26
B.Fernandes,Man Utd,MID,9.0,26
Garner,Everton,MID,5.0,25
Grealish,Everton,MID,6.8,25
Gakpo,Liverpool,MID,7.7,25
Kudus,Spurs,MID,6.6,25
Minteh,Brighton,MID,5.9,24
L.Paquetá,West Ham,MID,5.9,24
Tavernier,Bournemouth,MID,5.5,23
Szoboszlai,Liverpool,MID,6.5,21
Ndoye,Nott'm Forest,MID,6.1,21
Rice,Arsenal,MID,6.5,20
Gana,Everton,MID,5.4,20
Xhaka,Sunderland,MID,5.0,20
Johnson,Spurs,MID,7.0,20
Bergvall,Spurs,MID,5.4,20
J.Palhinha,Spurs,MID,5.5,20
Mbeumo,Man Utd,MID,8.1,19
P.M.Sarr,Spurs,MID,5.0,19
Mitoma,Brighton,MID,6.4,18
Sarr,Crystal Palace,MID,6.4,18
Doku,Man City,MID,6.4,18
Anderson,Nott'm Forest,MID,5.5,18
O.Dango,Brentford,MID,6.0,17
Wilson,Fulham,MID,5.4,17
Ayari,Brighton,MID,4.9,16
Neto,Chelsea,MID,7.0,16
Foden,Man City,MID,8.0,16
Hudson-Odoi,Nott'm Forest,MID,6.0,16
Talbi,Sunderland,MID,5.0,16
Brooks,Bournemouth,MID,5.0,15
Damsgaard,Brentford,MID,5.9,15
Henderson,Brentford,MID,5.0,15
E.Le Fée,Sunderland,MID,4.7,15
Eze,Arsenal,MID,7.5,14
Adams,Bournemouth,MID,5.0,14
Yarmoliuk,Brentford,MID,5.0,14
Bruno G.,Newcastle,MID,6.5,14
Tonali,Newcastle,MID,5.4,14
Schade,Brentford,MID,7.0,13
Georginio,Brighton,MID,5.8,13
Gruda,Brighton,MID,5.4,13
Wharton,Crystal Palace,MID,5.0,13
Lukić,Fulham,MID,5.0,13
Bernardo,Man City,MID,6.4,13
