Surname,Team,Position,Price,TP,Status,PPM
Roefs,Sunderland,GKP,4.6,39,OK,8.48
Pope,Newcastle,GKP,5.1,34,OK,6.67
Vicario,Spurs,GKP,5.1,32,OK,6.27
Raya,Arsenal,GKP,5.6,28,OK,5.0
Pickford,Everton,GKP,5.5,27,OK,4.91
Henderson,Crystal Palace,GKP,5.0,25,OK,5.0
Petrović,Bournemouth,GKP,4.5,24,OK,5.33
A.Becker,Liverpool,GKP,5.5,20,INJURY,3.64
Dúbravka,Burnley,GKP,4.0,18,OK,4.5
Kelleher,Brentford,GKP,4.5,18,OK,4.0
Leno,Fulham,GKP,5.0,18,OK,3.6
Sánchez,Chelsea,GKP,4.9,17,OK,3.47
Martinez,Aston Villa,GKP,5.0,14,DOUBT,2.8
Perri,Leeds,GKP,4.5,12,INJURY,2.67
Sels,Nott'm Forest,GKP,4.9,12,OK,2.45
Trafford,Man City,GKP,4.8,11,OK,2.29
Bayindir,Man Utd,GKP,5.0,11,OK,2.2
Verbruggen,Brighton,GKP,4.4,10,OK,2.27
Donnarumma,Man City,GKP,5.6,9,OK,1.61
Hermansen,West Ham,GKP,4.5,9,OK,2.0
Darlow,Leeds,GKP,4.0,8,OK,2.0
M.Bizot,Aston Villa,GKP,4.4,7,OK,1.59
Johnstone,Wolves,GKP,4.5,5,OK,1.11
José Sá,Wolves,GKP,4.4,5,OK,1.14
Areola,West Ham,GKP,4.3,4,OK,0.93
Jörgensen,Chelsea,GKP,4.4,1,OK,0.23
Arrizabalaga,Arsenal,GKP,4.3,0,OK,0.0
Setford,Arsenal,GKP,4.0,0,OK,0.0
Wright,Aston Villa,GKP,4.0,0,OK,0.0
Senesi,Bournemouth,DEF,4.9,44,OK,8.98
Guéhi,Crystal Palace,DEF,4.8,43,OK,8.96
Alderete,Sunderland,DEF,4.1,39,OK,9.51
Gabriel,Arsenal,DEF,6.2,38,OK,6.13
J.Timber,Arsenal,DEF,5.8,37,OK,6.38
Calafiori,Arsenal,DEF,5.7,36,OK,6.32
Lacroix,Crystal Palace,DEF,5.1,34,OK,6.67
Mitchell,Crystal Palace,DEF,5.0,34,OK,6.8
Burn,Newcastle,DEF,5.0,32,OK,6.4
Keane,Everton,DEF,4.5,31,OK,6.89
Romero,Spurs,DEF,5.1,31,OK,6.08
Richards,Crystal Palace,DEF,4.5,30,OK,6.67
Van de Ven,Spurs,DEF,4.8,30,OK,6.25
Rodon,Leeds,DEF,4.0,29,OK,7.25
Muñoz,Crystal Palace,DEF,5.6,28,OK,5.0
Virgil,Liverpool,DEF,6.1,28,OK,4.59
Cash,Aston Villa,DEF,4.6,27,OK,5.87
Truffert,Bournemouth,DEF,4.5,27,OK,6.0
Tarkowski,Everton,DEF,5.6,27,OK,4.82
Andersen,Fulham,DEF,4.5,26,OK,5.78
Hume,Sunderland,DEF,4.5,25,OK,5.56
Diakité,Bournemouth,DEF,4.5,24,OK,5.33
Mukiele,Sunderland,DEF,4.0,24,OK,6.0
Mings,Aston Villa,DEF,4.5,23,OK,5.11
Struijk,Leeds,DEF,4.5,23,OK,5.11
Konaté,Liverpool,DEF,5.5,23,OK,4.18
Schär,Newcastle,DEF,5.4,23,OK,4.26
Diouf,West Ham,DEF,4.4,23,OK,5.23
Pedro Porro,Spurs,DEF,5.6,23,OK,4.11
Gudmundsson,Leeds,DEF,4.0,22,OK,5.5
Trippier,Newcastle,DEF,5.0,21,OK,4.2
Spence,Spurs,DEF,4.5,21,OK,4.67
