Surname,Team,Position,Price,TP,Status,PPM,Captaincy_Coef,PP
Roefs,Sunderland,GKP,4.6,39,OK,8.48,1.0,39.0
Pope,Newcastle,GKP,5.1,34,OK,6.67,1.0,34.0
Vicario,Spurs,GKP,5.1,32,OK,6.27,1.0,32.0
Raya,Arsenal,GKP,5.6,28,OK,5.0,1.0,28.0
Pickford,Everton,GKP,5.5,27,OK,4.91,1.0,27.0
Henderson,Crystal Palace,GKP,5.0,25,OK,5.0,1.0,25.0
Petrović,Bournemouth,GKP,4.5,24,OK,5.33,1.0,24.0
A.Becker,Liverpool,GKP,5.5,20,INJURY,3.64,1.0,20.0
Dúbravka,Burnley,GKP,4.0,18,OK,4.5,1.0,18.0
Kelleher,Brentford,GKP,4.5,18,OK,4.0,1.0,18.0
Leno,Fulham,GKP,5.0,18,OK,3.6,1.0,18.0
Sánchez,Chelsea,GKP,4.9,17,OK,3.47,1.0,17.0
Martinez,Aston Villa,GKP,5.0,14,DOUBT,2.8,1.0,14.0
Perri,Leeds,GKP,4.5,12,INJURY,2.67,1.0,12.0
Sels,Nott'm Forest,GKP,4.9,12,OK,2.45,1.0,12.0
Trafford,Man City,GKP,4.8,11,OK,2.29,1.0,11.0
Bayindir,Man Utd,GKP,5.0,11,OK,2.2,1.0,11.0
Verbruggen,Brighton,GKP,4.4,10,OK,2.27,1.0,10.0
Donnarumma,Man City,GKP,5.6,9,OK,1.61,1.0,9.0
Hermansen,West Ham,GKP,4.5,9,OK,2.0,1.0,9.0
Darlow,Leeds,GKP,4.0,8,OK,2.0,1.0,8.0
M.Bizot,Aston Villa,GKP,4.4,7,OK,1.59,1.0,7.0
Johnstone,Wolves,GKP,4.5,5,OK,1.11,1.0,5.0
José Sá,Wolves,GKP,4.4,5,OK,1.14,1.0,5.0
Areola,West Ham,GKP,4.3,4,OK,0.93,1.0,4.0
Jörgensen,Chelsea,GKP,4.4,1,OK,0.23,1.0,1.0
Arrizabalaga,Arsenal,GKP,4.3,0,OK,0.0,1.0,0.0
Setford,Arsenal,GKP,4.0,0,OK,0.0,1.0,0.0
Wright,Aston Villa,GKP,4.0,0,OK,0.0,1.0,0.0
Senesi,Bournemouth,DEF,4.9,44,OK,8.98,1.0,44.0
Guéhi,Crystal Palace,DEF,4.8,43,OK,8.96,1.0,43.0
Alderete,Sunderland,DEF,4.1,39,OK,9.51,1.0,39.0
Gabriel,Arsenal,DEF,6.2,38,OK,6.13,1.0,38.0
J.Timber,Arsenal,DEF,5.8,37,OK,6.38,1.0,37.0
Calafiori,Arsenal,DEF,5.7,36,OK,6.32,1.2,43.2
Lacroix,Crystal Palace,DEF,5.1,34,OK,6.67,1.0,34.0
Mitchell,Crystal Palace,DEF,5.0,34,OK,6.8,1.0,34.0
Burn,Newcastle,DEF,5.0,32,OK,6.4,1.0,32.0
Keane,Everton,DEF,4.5,31,OK,6.89,1.0,31.0
Romero,Spurs,DEF,5.1,31,OK,6.08,1.0,31.0
Richards,Crystal Palace,DEF,4.5,30,OK,6.67,1.0,30.0
Van de Ven,Spurs,DEF,4.8,30,OK,6.25,1.0,30.0
Rodon,Leeds,DEF,4.0,29,OK,7.25,1.0,29.0
Muñoz,Crystal Palace,DEF,5.6,28,OK,5.0,1.0,28.0
Virgil,Liverpool,DEF,6.1,28,OK,4.59,1.0,28.0
Cash,Aston Villa,DEF,4.6,27,OK,5.87,1.0,27.0
Truffert,Bournemouth,DEF,4.5,27,OK,6.0,1.0,27.0
Tarkowski,Everton,DEF,5.6,27,OK,4.82,1.0,27.0
Andersen,Fulham,DEF,4.5,26,OK,5.78,1.0,26.0
Hume,Sunderland,DEF,4.5,25,OK,5.56,1.0,25.0
Diakité,Bournemouth,DEF,4.5,24,OK,5.33,1.0,24.0
Mukiele,Sunderland,DEF,4.0,24,OK,6.0,1.0,24.0
Mings,Aston Villa,DEF,4.5,23,OK,5.11,1.0,23.0
Struijk,Leeds,DEF,4.5,23,OK,5.11,1.0,23.0
Konaté,Liverpool,DEF,5.5,23,OK,4.18,1.0,23.0
Schär,Newcastle,DEF,5.4,23,OK,4.26,1.0,23.0
Diouf,West Ham,DEF,4.4,23,OK,5.23,1.0,23.0
Pedro Porro,Spurs,DEF,5.6,23,OK,4.11,1.0,23.0
Gudmundsson,Leeds,DEF,4.0,22,OK,5.5,1.0,22.0
Trippier,Newcastle,DEF,5.0,21,OK,4.2,1.0,21.0
Spence,Spurs,DEF,4.5,21,OK,4.67,1.0,21.0
Digne,Aston Villa,DEF,4.5,20,OK,4.44,1.0,20.0
Cucurella,Chelsea,DEF,6.1,20,OK,3.28,1.0,20.0
Bogle,Leeds,DEF,4.5,20,OK,4.44,1.0,20.0
Botman,Newcastle,DEF,4.9,20,OK,4.08,1.0,20.0
Ballard,Sunderland,DEF,4.6,20,OK,4.35,1.0,20.0
Saliba,Arsenal,DEF,6.0,19,OK,3.17,1.0,19.0
Ekdal,Burnley,DEF,4.0,19,OK,4.75,1.0,19.0
Van den Berg,Brentford,DEF,4.5,18,OK,4.0,1.0,18.0
O'Brien,Everton,DEF,5.0,18,OK,3.6,1.0,18.0
Rúben,Man City,DEF,5.5,18,OK,3.27,1.0,18.0
De Ligt,Man Utd,DEF,5.0,18,OK,3.6,1.0,18.0
Hartman,Burnley,DEF,4.0,17,OK,4.25,1.0,17.0
Kayode,Brentford,DEF,4.5,17,OK,3.78,1.0,17.0
Bassey,Fulham,DEF,4.5,17,OK,3.78,1.0,17.0
Collins,Brentford,DEF,5.0,16,OK,3.2,1.0,16.0
Lewis-Potter,Brentford,DEF,5.0,16,OK,3.2,1.0,16.0
Matheus N.,Man City,DEF,5.3,16,OK,3.02,1.0,16.0
S.Bueno,Wolves,DEF,4.4,16,OK,3.64,1.0,16.0
James,Chelsea,DEF,5.4,15,OK,2.78,1.0,15.0
Tete,Fulham,DEF,4.5,15,OK,3.33,1.0,15.0
O'Reilly,Man City,DEF,4.9,15,OK,3.06,1.0,15.0
Maguire,Man Utd,DEF,4.4,15,OK,3.41,1.0,15.0
N.Williams,Nott'm Forest,DEF,4.9,15,OK,3.06,1.0,15.0
Konsa,Aston Villa,DEF,4.6,14,OK,3.04,1.0,14.0
Estève,Burnley,DEF,4.0,14,OK,3.5,1.0,14.0
Dunk,Brighton,DEF,4.5,14,OK,3.11,1.0,14.0
Semenyo,Bournemouth,MID,7.8,48,OK,6.15,1.0,48.0
Anthony,Burnley,MID,5.7,40,OK,7.02,1.0,40.0
Enzo,Chelsea,MID,6.7,39,OK,5.82,1.2,46.8
Caicedo,Chelsea,MID,5.7,35,OK,6.14,1.0,35.0
Gravenberch,Liverpool,MID,5.6,35,OK,6.25,1.0,35.0
