Icon,Surname,Full_Info,Team,Appearances,Time Played - Exact,Goals From Penalties,Goals From Set Plays,Headed Goal Attempts From Set Plays,Shots From Set Plays,Corners,Corners - Successful,Crosses From Free Kick,Crosses From Free Kick - Successful,Mins,Mins_90s,Corners_per_90,FK_Crosses_per_90,SetPieceShots_per_90,Club
,Aaronson,"Aaronson Brenden Aaronson (Leeds United, Midfielder)",LEE,37,2477,0,0,0,13,0,0,0,0,2477,27.522222222222222,0.0,0.0,0.47,Leeds United
,Abbott,"Abbott (Zach) Zach Abbott (Nottingham Forest, Defender)",NFO,3,159,0,0,0,0,0,0,0,0,159,1.7666666666666666,0.0,0.0,0.0,Nottingham Forest
,Abraham,"Abraham Tammy Abraham (Aston Villa, Forward)",AVL,12,338,0,1,0,1,0,0,0,0,338,3.7555555555555555,0.0,0.0,0.27,Aston Villa
,Acheampong,"Acheampong Josh Acheampong (Chelsea, Defender)",CHE,17,714,0,1,3,3,0,0,0,0,714,7.933333333333334,0.0,0.0,0.38,Chelsea
,Adams,"Adams Tyler Adams (Bournemouth, Midfielder)",BOU,25,1795,0,1,0,2,0,0,0,0,1795,19.944444444444443,0.0,0.0,0.1,Bournemouth
,Tosin,"Tosin Oluwatosin Adarabioyo (Chelsea, Defender)",CHE,16,839,0,0,2,2,0,0,0,0,839,9.322222222222223,0.0,0.0,0.21,Chelsea
,Adingra,"Adingra Simon Adingra (Sunderland, Midfielder)",SUN,14,678,0,1,0,3,0,0,0,0,678,7.533333333333333,0.0,0.0,0.4,Sunderland
,Adli,"Adli Amine Adli (Bournemouth, Midfielder)",BOU,31,1213,0,2,1,4,15,1,4,0,1213,13.477777777777778,1.11,0.3,0.3,Bournemouth
,Agbadou,"Agbadou Emmanuel Agbadou (Wolverhampton Wanderers, Defender)",WOL,14,1103,0,0,5,7,0,0,0,0,1103,12.255555555555556,0.0,0.0,0.57,WOL
,Aina,"Aina Ola Aina (Nottingham Forest, Defender)",NFO,18,1588,0,0,0,4,1,0,0,0,1588,17.644444444444446,0.06,0.0,0.23,Nottingham Forest
,Ait Nouri,"Ait Nouri Rayan Ait Nouri (Manchester City, Defender)",MCI,17,1003,0,0,0,2,7,2,0,0,1003,11.144444444444444,0.63,0.0,0.18,Manchester City
,Ajer,"Ajer Kristoffer Ajer (Brentford, Defender)",BRE,27,1839,0,0,5,6,0,0,0,0,1839,20.433333333333334,0.0,0.0,0.29,Brentford
,Aké,"Aké Nathan Aké (Manchester City, Defender)",MCI,18,751,0,0,4,5,0,0,0,0,751,8.344444444444445,0.0,0.0,0.6,Manchester City
,Alcaraz,"Alcaraz Carlos Alcaraz (Everton, Midfielder)",EVE,20,749,0,0,1,6,4,1,0,0,749,8.322222222222223,0.48,0.0,0.72,Everton
,Alderete,"Alderete Omar Alderete (Sunderland, Defender)",SUN,33,2796,0,1,11,20,0,0,0,0,2796,31.066666666666666,0.0,0.0,0.64,Sunderland
,Estêvão,"Estêvão Estêvão Willian Almeida de Oliveira Gonçalves (Chelsea, Midfielder)",CHE,22,885,0,0,0,1,14,1,1,0,885,9.833333333333334,1.42,0.1,0.1,Chelsea
,João Palhinha,"João Palhinha João Maria Lobo Alves Palhinha Gonçalves (Tottenham Hotspur, Midfielder)",TOT,33,2247,0,3,3,15,0,0,0,0,2247,24.966666666666665,0.0,0.0,0.6,Tottenham Hotspur
,Amdouni,"Amdouni Zeki Amdouni (Burnley, Forward)",BUR,4,96,0,0,0,0,0,0,0,0,96,1.0666666666666667,0.0,0.0,0.0,BUR
,Ampadu,"Ampadu Ethan Ampadu (Leeds United, Midfielder)",LEE,35,3078,0,1,2,9,0,0,0,0,3078,34.2,0.0,0.0,0.26,Leeds United
,Andersen,"Andersen Joachim Andersen (Fulham, Defender)",FUL,33,2873,0,0,7,10,0,0,0,0,2873,31.92222222222222,0.0,0.0,0.31,Fulham
,Anderson,"Anderson (Elliot) Elliot Anderson (Nottingham Forest, Midfielder)",NFO,38,3332,1,0,1,8,87,23,26,4,3332,37.022222222222226,2.35,0.7,0.22,Nottingham Forest
,Angulo,"Angulo Nilson Angulo (Sunderland, Midfielder)",SUN,8,409,0,0,1,1,0,0,2,1,409,4.544444444444444,0.0,0.44,0.22,Sunderland
,Anthony,"Anthony Jaidon Anthony (Burnley, Midfielder)",BUR,37,2746,0,1,1,13,27,9,4,0,2746,30.511111111111113,0.88,0.13,0.43,BUR
,Joelinton,"Joelinton Joelinton Cássio Apolinário de Lira (Newcastle United, Midfielder)",NEW,27,1969,0,0,6,9,0,0,0,0,1969,21.877777777777776,0.0,0.0,0.41,Newcastle United
,Arias,"Arias Jhon Arias (Wolverhampton Wanderers, Midfielder)",WOL,23,1165,0,0,0,4,16,5,2,1,1165,12.944444444444445,1.24,0.15,0.31,WOL
,Armstrong,"Armstrong (Adam) Adam Armstrong (Wolverhampton Wanderers, Forward)",WOL,14,1140,1,0,2,6,0,0,0,0,1140,12.666666666666666,0.0,0.0,0.47,WOL
,Armstrong,"Armstrong (Harrison) Harrison Armstrong (Everton, Midfielder)",EVE,13,554,0,0,2,3,0,0,0,0,554,6.155555555555556,0.0,0.0,0.49,Everton
