Surname,Team,Price,TP
Calafiori,Arsenal,5.7,28
Chalobah,Chelsea,5.1,27
J.Timber,Arsenal,5.6,26
Senesi,Bournemouth,4.6,25
Guéhi,Crystal Palace,4.6,23
Lacroix,Crystal Palace,5,22
Cucurella,Chelsea,6.1,19
Muñoz,Crystal Palace,5.5,19
Livramento,Newcastle,5.1,19
Ballard,Sunderland,4.6,18
Gudmundsson,Leeds,4,17
Burn,Newcastle,5,17
Saliba,Arsenal,6.1,16
Diakité,Bournemouth,4.5,16
Mitchell,Crystal Palace,5,16
Richards,Crystal Palace,4.5,16
Rodon,Leeds,4,16
Tarkowski,Everton,5.5,15
Schär,Newcastle,5.5,15
Pedro Porro,Spurs,5.6,15
Romero,Spurs,5,15
Gabriel,Arsenal,6.1,14
Van den Berg,Brentford,4.5,14
Struijk,Leeds,4.5,14
