Team,Gameweek,Opponent,Location,FDR,FDR_A,FDR_D
ARS,GW13,CHE,A,1201,1194,1201
ARS,GW14,BRE,H,1165,1121,1201
ARS,GW15,AVL,A,1201,1201,1201
ARS,GW16,WOL,H,1081,1052,1109
ARS,GW17,EVE,A,1157,1157,1157
AVL,GW13,WOL,H,1081,1052,1109
AVL,GW14,BHA,A,1194,1134,1201
AVL,GW15,ARS,H,1266,1324,1217
AVL,GW16,WHU,A,1089,1052,1121
AVL,GW17,MUN,H,1165,1121,1201
BOU,GW13,SUN,A,1176,1147,1201
BOU,GW14,EVE,H,1121,1134,1109
BOU,GW15,CHE,H,1201,1170,1201
BOU,GW16,MUN,A,1201,1183,1217
BOU,GW17,BUR,H,1060,1000,1121
BRE,GW13,BUR,H,1060,1000,1121
BRE,GW14,ARS,A,1376,1400,1338
BRE,GW15,TOT,A,1201,1183,1201
BRE,GW16,LEE,H,1114,1094,1134
BRE,GW17,WOL,A,1101,1052,1147
BHA,GW13,NFO,A,1157,1134,1183
BHA,GW14,AVL,H,1176,1183,1170
BHA,GW15,WHU,H,1089,1052,1121
BHA,GW16,LIV,A,1223,1201,1295
BHA,GW17,SUN,H,1121,1121,1121
BUR,GW13,BRE,A,1201,1134,1201
BUR,GW14,CRY,H,1199,1183,1201
BUR,GW15,NEW,A,1201,1201,1217
BUR,GW16,FUL,H,1109,1094,1121
BUR,GW17,BOU,A,1201,1201,1201
CHE,GW13,ARS,H,1266,1324,1217
CHE,GW14,LEE,A,1176,1121,1201
CHE,GW15,BOU,A,1201,1201,1201
CHE,GW16,EVE,H,1121,1134,1109
CHE,GW17,NEW,A,1201,1201,1217
CRY,GW13,MUN,H,1165,1121,1201
CRY,GW14,BUR,A,1114,1109,1121
CRY,GW15,FUL,A,1157,1170,1147
CRY,GW16,MCI,H,1206,1201,1253
CRY,GW17,LEE,A,1176,1121,1201
EVE,GW13,NEW,H,1194,1201,1183
EVE,GW14,BOU,A,1201,1201,1201
EVE,GW15,NFO,H,1121,1121,1121
EVE,GW16,CHE,A,1201,1194,1201
EVE,GW17,ARS,H,1266,1324,1217
FUL,GW13,TOT,A,1201,1183,1201
FUL,GW14,MCI,H,1206,1201,1253
FUL,GW15,CRY,H,1199,1183,1201
FUL,GW16,BUR,A,1114,1109,1121
FUL,GW17,NFO,H,1121,1121,1121
LEE,GW13,MCI,A,1273,1201,1384
LEE,GW14,CHE,H,1201,1170,1201
LEE,GW15,LIV,H,1201,1201,1253
LEE,GW16,BRE,A,1201,1134,1201
LEE,GW17,CRY,H,1199,1183,1201
LIV,GW13,WHU,A,1089,1052,1121
LIV,GW14,SUN,H,1121,1121,1121
LIV,GW15,LEE,A,1176,1121,1201
LIV,GW16,BHA,H,1183,1109,1201
LIV,GW17,TOT,A,1201,1183,1201
MCI,GW13,LEE,H,1114,1094,1134
MCI,GW14,FUL,A,1157,1170,1147
MCI,GW15,SUN,H,1121,1121,1121
MCI,GW16,CRY,A,1201,1183,1217
MCI,GW17,WHU,H,1089,1052,1121
MUN,GW13,CRY,A,1201,1183,1217
MUN,GW14,WHU,H,1089,1052,1121
MUN,GW15,WOL,A,1101,1052,1147
MUN,GW16,BOU,H,1183,1121,1201
MUN,GW17,AVL,A,1201,1201,1201
NEW,GW13,EVE,A,1157,1157,1157
NEW,GW14,TOT,H,1199,1157,1201
NEW,GW15,BUR,H,1060,1000,1121
NEW,GW16,SUN,A,1176,1147,1201
NEW,GW17,CHE,H,1201,1170,1201
NFO,GW13,BHA,H,1183,1109,1201
NFO,GW14,WOL,A,1101,1052,1147
NFO,GW15,EVE,A,1157,1157,1157
NFO,GW16,TOT,H,1199,1157,1201
NFO,GW17,FUL,A,1157,1170,1147
SUN,GW13,BOU,H,1183,1121,1201
SUN,GW14,LIV,A,1223,1201,1295
SUN,GW15,MCI,A,1273,1201,1384
SUN,GW16,NEW,H,1194,1201,1183
SUN,GW17,BHA,A,1194,1134,1201
TOT,GW13,FUL,H,1109,1094,1121
TOT,GW14,NEW,A,1201,1201,1217
TOT,GW15,BRE,H,1165,1121,1201
TOT,GW16,NFO,A,1157,1134,1183
TOT,GW17,LIV,H,1201,1201,1253
WHU,GW13,LIV,H,1201,1201,1253
WHU,GW14,MUN,A,1201,1183,1217
WHU,GW15,BHA,A,1194,1134,1201
WHU,GW16,AVL,H,1176,1183,1170
WHU,GW17,MCI,A,1273,1201,1384
WOL,GW13,AVL,A,1201,1201,1201
WOL,GW14,NFO,H,1121,1121,1121
WOL,GW15,MUN,H,1165,1121,1201
WOL,GW16,ARS,A,1376,1400,1338
WOL,GW17,BRE,H,1165,1121,1201
