Surname,Team,Position,Price,TP,Status
Rice,Arsenal,MID,7.1,82,DOUBT
Semenyo,Bournemouth,MID,7.7,80,OK
Bruno G.,Newcastle,MID,6.8,71,OK
Neto,Chelsea,MID,7.2,68,OK
B.Fernandes,Man Utd,MID,9.0,67,OK
Minteh,Brighton,MID,6.3,66,OK
Eze,Arsenal,MID,7.8,65,OK
Foden,Man City,MID,8.4,65,OK
Saka,Arsenal,MID,10.1,64,OK
Mbeumo,Man Utd,MID,8.5,64,OK
Enzo,Chelsea,MID,6.7,63,OK
Ndiaye,Everton,MID,6.5,63,OK
Gakpo,Liverpool,MID,7.5,63,OK
Xhaka,Sunderland,MID,5.2,63,OK
Kudus,Spurs,MID,6.5,62,OK
Rogers,Aston Villa,MID,6.9,61,OK
Cullen,Burnley,MID,5.0,61,OK
Gravenberch,Liverpool,MID,5.6,61,OK
J.Palhinha,Spurs,MID,5.5,60,OK
Grealish,Everton,MID,6.6,59,OK
Casemiro,Man Utd,MID,5.5,59,DOUBT
Trossard,Arsenal,MID,6.9,58,OK
O.Dango,Brentford,MID,6.0,58,OK
Caicedo,Chelsea,MID,6.0,58,INJURY
Dewsbury-Hall,Everton,MID,5.0,58,OK
Anderson,Nott'm Forest,MID,5.4,57,OK
M.Salah,Liverpool,MID,14.1,57,INJURY
Anthony,Burnley,MID,5.4,56,OK
Tavernier,Bournemouth,MID,5.5,56,OK
Sessegnon,Fulham,MID,5.4,56,OK
Doku,Man City,MID,6.6,56,OK
Zubimendi,Arsenal,MID,5.3,55,OK
Wilson,Fulham,MID,5.2,54,DOUBT
E Le Fee,Sunderland,MID,4.9,54,OK
Garner,Everton,MID,5.0,53,OK
Gibbs-White,Nott'm Forest,MID,7.3,53,DOUBT
Wieffer,Brighton,MID,4.9,52,OK
Iwobi,Fulham,MID,6.4,52,OK
Merino,Arsenal,MID,6.0,51,OK
Szoboszlai,Liverpool,MID,6.6,51,OK
Sarr,Crystal Palace,MID,6.5,50,INJURY
Stach,Leeds,MID,4.8,50,INJURY
Adams,Bournemouth,MID,5.0,49,INJURY
Buendia,Aston Villa,MID,5.3,48,OK
Talbi,Sunderland,MID,5.0,47,OK
Malen,Aston Villa,MID,5.1,46,OK
Schade,Brentford,MID,7.0,46,OK
Kamara,Aston Villa,MID,4.9,45,OK
Reijnders,Man City,MID,5.3,45,OK
Aaronson,Leeds,MID,5.4,44,OK
Barnes,Newcastle,MID,6.4,44,OK
L.Paquetá,West Ham,MID,5.9,44,OK
McGinn,Aston Villa,MID,5.4,43,OK
Amad,Man Utd,MID,6.3,43,OK
Kamada,Crystal Palace,MID,5.0,42,OK
Scott,Bournemouth,MID,5.0,41,OK
J.Murphy,Newcastle,MID,6.1,41,OK
P.M.Sarr,Spurs,MID,4.7,41,OK
Damsgaard,Brentford,MID,5.8,40,OK
Henderson,Brentford,MID,5.0,40,OK
