Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score
Raya,Arsenal,GKP,5.9,66,OK,11.19,11.0,1.0,66.0,ARS,1139.4666666666665,1165.8,1165.8,0.06
Roefs,Sunderland,GKP,4.7,63,OK,13.4,4.0,1.0,63.0,SUN,1173.4666666666667,1251.3999999999999,1251.3999999999999,0.05
Henderson,Crystal Palace,GKP,5.1,60,OK,11.76,9.0,1.0,60.0,CRY,1162.0666666666666,1191.6000000000001,1191.6000000000001,0.05
Pickford,Everton,GKP,5.5,60,OK,10.91,8.0,1.0,60.0,EVE,1180.4666666666667,1166.1333333333334,1166.1333333333334,0.05
Martinez,Aston Villa,GKP,5.1,54,DOUBT,10.59,11.0,1.0,54.0,AVL,1198.6666666666667,1194.3999999999999,1194.3999999999999,0.05
Vicario,Spurs,GKP,5.0,51,OK,10.2,3.0,1.0,51.0,TOT,1149.9333333333334,1208.7333333333333,1208.7333333333333,0.04
Sánchez,Chelsea,GKP,4.8,47,OK,9.79,4.0,1.0,47.0,CHE,1175.4666666666667,1175.533333333333,1175.533333333333,0.04
Petrović,Bournemouth,GKP,4.5,45,OK,10.0,4.0,1.0,45.0,BOU,1136.4666666666667,1189.4666666666665,1189.4666666666665,0.04
Verbruggen,Brighton,GKP,4.4,41,OK,9.32,8.0,1.0,41.0,BHA,1152.3999999999999,1196.9333333333332,1196.9333333333332,0.03
Dúbravka,Burnley,GKP,4.0,40,OK,10.0,3.0,1.0,40.0,BUR,1163.8,1171.8,1171.8,0.03
Leno,Fulham,GKP,4.9,40,OK,8.16,1.0,1.0,40.0,FUL,1133.7333333333331,1154.6666666666667,1154.6666666666667,0.03
Kelleher,Brentford,GKP,4.5,38,OK,8.44,4.0,1.0,38.0,BRE,1123.7333333333333,1172.3333333333333,1172.3333333333333,0.03
Sels,Nott'm Forest,GKP,4.7,38,OK,8.09,8.0,1.0,38.0,NFO,1164.5333333333335,1176.6666666666667,1176.6666666666667,0.03
Donnarumma,Man City,GKP,5.7,37,OK,6.49,5.0,1.0,37.0,MCI,1127.7333333333333,1160.7333333333333,1160.7333333333333,0.03
A.Becker,Liverpool,GKP,5.4,31,OK,5.74,9.0,1.0,31.0,LIV,1119.7333333333333,1184.2666666666667,1184.2666666666667,0.03
Areola,West Ham,GKP,4.3,29,OK,6.74,5.0,1.0,29.0,WHU,1153.6000000000001,1218.6000000000001,1218.6000000000001,0.02
Perri,Leeds,GKP,4.5,23,OK,5.11,5.0,1.0,23.0,LEE,1172.3333333333333,1224.6000000000001,1224.6000000000001,0.02
Lammens,Man Utd,GKP,5.1,22,OK,4.31,4.0,1.0,22.0,MUN,1120.7333333333333,1174.466666666667,1174.466666666667,0.02
Johnstone,Wolves,GKP,4.5,21,OK,4.67,5.0,1.0,21.0,WOL,1210.4666666666665,1251.1333333333334,1251.1333333333334,0.02
Mamardashvili,Liverpool,GKP,4.3,19,OK,4.42,0.0,1.0,19.0,LIV,1119.7333333333333,1184.2666666666667,1184.2666666666667,0.02
Trafford,Man City,GKP,4.6,11,OK,2.39,0.0,1.0,11.0,MCI,1127.7333333333333,1160.7333333333333,1160.7333333333333,0.01
Bayindir,Man Utd,GKP,4.8,11,OK,2.29,0.0,1.0,11.0,MUN,1120.7333333333333,1174.466666666667,1174.466666666667,0.01
Darlow,Leeds,GKP,4.0,10,OK,2.5,0.0,1.0,10.0,LEE,1172.3333333333333,1224.6000000000001,1224.6000000000001,0.01
Hermansen,West Ham,GKP,4.3,9,OK,2.09,0.0,1.0,9.0,WHU,1153.6000000000001,1218.6000000000001,1218.6000000000001,0.01
M.Bizot,Aston Villa,GKP,4.3,8,OK,1.86,1.0,1.0,8.0,AVL,1198.6666666666667,1194.3999999999999,1194.3999999999999,0.01
