Surname,Team,Position,Price,TP,Status
Roefs,Sunderland,GKP,4.8,90,OK
Pickford,Everton,GKP,5.5,86,OK
Raya,Arsenal,GKP,6.0,79,OK
Sánchez,Chelsea,GKP,4.9,72,OK
Vicario,Spurs,GKP,4.8,72,OK
Henderson,Crystal Palace,GKP,5.1,70,OK
Kelleher,Brentford,GKP,4.5,66,OK
Donnarumma,Man City,GKP,5.7,66,OK
Martinez,Aston Villa,GKP,5.0,60,OK
Leno,Fulham,GKP,4.9,60,OK
Dúbravka,Burnley,GKP,4.0,59,OK
Verbruggen,Brighton,GKP,4.5,58,OK
Pope,Newcastle,GKP,5.1,57,OK
Petrović,Bournemouth,GKP,4.5,55,OK
A.Becker,Liverpool,GKP,5.4,51,OK
Perri,Leeds,GKP,4.5,40,OK
Sels,Nott'm Forest,GKP,4.6,40,OK
Areola,West Ham,GKP,4.3,40,OK
Lammens,Man Utd,GKP,5.0,38,OK
Johnstone,Wolves,GKP,4.4,21,OK
Mamardashvili,Liverpool,GKP,4.2,19,OK
José Sá,Wolves,GKP,4.2,12,OK
Trafford,Man City,GKP,4.5,11,OK
Bayindir,Man Utd,GKP,4.8,11,OK
Ramsdale,Newcastle,GKP,4.8,11,OK
Darlow,Leeds,GKP,3.9,10,OK
John,Nott'm Forest,GKP,4.0,10,OK
M.Bizot,Aston Villa,GKP,4.2,9,OK
Hermansen,West Ham,GKP,4.3,9,OK
Jörgensen,Chelsea,GKP,4.3,1,OK
