Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP
Raya,Arsenal,GKP,6.0,130,OK,21.67,0.0,1.0,130.0
Kinsky,Spurs,GKP,4.5,16,OK,3.56,0.0,1.0,16.0
Verbruggen,Brighton,GKP,4.5,104,OK,23.11,0.0,1.0,104.0
Dubravka,Spurs,GKP,4.0,77,OK,19.25,0.0,1.0,77.0
Lammens,Man Utd,GKP,5.0,87,OK,17.4,0.0,1.0,87.0
Donnarumma,Man City,GKP,5.5,108,OK,19.64,0.0,1.0,108.0
Pickford,Everton,GKP,5.5,108,OK,19.64,0.0,1.0,108.0
Kelleher,Brentford,GKP,5.0,114,OK,22.8,0.0,1.0,114.0
Palmer,Ipswich Town,GKP,4.0,77,OK,19.25,0.0,1.0,77.0
Martinez,Aston Villa,GKP,5.0,96,OK,19.2,0.0,1.0,96.0
Roefs,Sunderland,GKP,5.0,109,OK,21.8,0.0,1.0,109.0
Steele,Brighton,GKP,4.0,77,OK,19.25,0.0,1.0,77.0
A.Becker,Liverpool,GKP,5.5,73,OK,13.27,0.0,1.0,73.0
Petrović,Bournemouth,GKP,4.5,99,OK,22.0,0.0,1.0,99.0
Forster,Bournemouth,GKP,4.0,77,OK,19.25,0.0,1.0,77.0
Leno,Fulham,GKP,4.5,98,OK,21.78,0.0,1.0,98.0
Trafford,Leeds,GKP,5.0,10,OK,2.0,0.0,1.0,10.0
Sánchez,Chelsea,GKP,5.0,90,OK,18.0,0.0,1.0,90.0
Henderson,Crystal Palace,GKP,5.0,105,OK,21.0,0.0,1.0,105.0
Matthews,Crystal Palace,GKP,4.0,77,OK,19.25,0.0,1.0,77.0
Dovin,Coventry City,GKP,4.0,77,OK,19.25,0.0,1.0,77.0
Phillips,Hull City,GKP,4.0,77,OK,19.25,0.0,1.0,77.0
Sels,Nott'm Forest,GKP,5.0,84,OK,16.8,0.0,1.0,84.0
Pope,Newcastle,GKP,5.0,77,OK,15.4,0.0,1.0,77.0
Rushworth,Coventry City,GKP,4.5,86,OK,19.11,0.0,1.0,86.0
Lecomte,Fulham,GKP,4.0,77,OK,19.25,0.0,1.0,77.0
Woodman,Liverpool,GKP,4.0,5,OK,1.25,0.0,1.0,5.0
Tzolakis,Hull City,GKP,4.5,86,OK,19.11,0.0,1.0,86.0
Austin,Spurs,GKP,4.0,77,OK,19.25,0.0,1.0,77.0
Suzuki,Aston Villa,GKP,5.0,96,OK,19.2,0.0,1.0,96.0
Calafiori,Arsenal,DEF,5.5,87,OK,15.82,0.0,1.0,87.0
Gabriel,Arsenal,DEF,8.0,167,OK,20.88,0.0,1.08,180.36
O'Reilly,Man City,DEF,6.5,128,OK,19.69,0.0,1.0,128.0
Shaw,Man Utd,DEF,4.5,90,OK,20.0,0.0,1.0,90.0
Virgil,Liverpool,DEF,6.5,140,OK,21.54,0.0,1.0,140.0
Diop,Ipswich Town,DEF,4.0,25,OK,6.25,0.0,1.0,25.0
Maguire,Man Utd,DEF,5.0,72,OK,14.4,0.0,1.0,72.0
Guéhi,Man City,DEF,6.0,143,OK,23.83,0.0,1.0,143.0
Pedro Porro,Spurs,DEF,5.5,94,OK,17.09,0.0,1.0,94.0
van Ewijk,Coventry City,DEF,4.0,70,OK,17.5,0.0,1.0,70.0
Konsa,Arsenal,DEF,4.5,80,OK,17.78,0.0,1.0,80.0
Gvardiol,Man City,DEF,5.5,63,OK,11.45,0.0,1.0,63.0
Van Hecke,Spurs,DEF,5.0,118,OK,23.6,0.0,1.0,118.0
James,Chelsea,DEF,5.5,92,OK,16.73,0.0,1.0,92.0
N.Williams,Nott'm Forest,DEF,5.0,102,OK,20.4,0.0,1.0,102.0
Muñoz,Crystal Palace,DEF,5.5,109,OK,19.82,0.0,1.0,109.0
Lacroix,Chelsea,DEF,6.0,123,OK,20.5,0.0,1.0,123.0
Cash,Aston Villa,DEF,4.5,94,OK,20.89,0.0,1.0,94.0
Tarkowski,Everton,DEF,6.0,136,OK,22.67,0.0,1.0,136.0
Senesi,Spurs,DEF,6.0,140,OK,23.33,0.0,1.0,140.0
Thomas,Coventry City,DEF,4.0,70,OK,17.5,0.0,1.0,70.0
Hume,Sunderland,DEF,4.5,88,OK,19.56,0.0,1.0,88.0
Mitchell,Crystal Palace,DEF,4.5,108,OK,24.0,0.0,1.0,108.0
Mosquera,Arsenal,DEF,5.5,32,OK,5.82,0.0,1.0,32.0
Ballard,Sunderland,DEF,5.0,93,OK,18.6,0.0,1.0,93.0
Davis,Ipswich Town,DEF,4.0,70,OK,17.5,0.0,1.0,70.0
White,Arsenal,DEF,5.5,36,OK,6.55,0.0,1.0,36.0
Truffert,Bournemouth,DEF,5.5,132,OK,24.0,0.0,1.0,132.0
Robertson,Spurs,DEF,4.5,44,OK,9.78,0.0,1.0,44.0
Kayode,Brentford,DEF,4.5,90,OK,20.0,0.0,1.0,90.0
Kerkez,Liverpool,DEF,5.5,68,OK,12.36,0.0,1.0,68.0
O'Nien,Sunderland,DEF,4.0,21,OK,5.25,0.0,1.0,21.0
Ajer,Brentford,DEF,4.5,61,OK,13.56,0.0,1.0,61.0
Rodon,Leeds,DEF,4.5,87,OK,19.33,0.0,1.0,87.0
Frimpong,Liverpool,DEF,5.5,50,OK,9.09,0.0,1.0,50.0
Hall,Newcastle,DEF,5.0,63,OK,12.6,0.0,1.0,63.0
Aina,Nott'm Forest,DEF,4.5,54,OK,12.0,0.0,1.0,54.0
O'Shea,Ipswich Town,DEF,4.0,70,OK,17.5,0.0,1.0,70.0
Muharemović,Leeds,DEF,5.0,88,OK,17.6,0.0,1.0,88.0
Palestra,Chelsea,DEF,5.5,97,OK,17.64,0.0,1.0,97.0
F.Kadıoğlu,Brighton,DEF,4.5,79,DOUBT,17.56,0.0,1.0,79.0
Mukiele,Sunderland,DEF,5.5,121,OK,22.0,0.0,1.0,121.0
Araujo,Liverpool,DEF,5.5,97,OK,17.64,0.0,1.0,97.0
Dalot,Man Utd,DEF,5.0,89,OK,17.8,0.0,1.0,89.0
Vuskovic,Brighton,DEF,5.0,88,OK,17.6,0.0,1.0,88.0
Burn,Newcastle,DEF,5.0,74,OK,14.8,0.0,1.0,74.0
Targett,Hull City,DEF,4.0,70,OK,17.5,0.0,1.0,70.0
Jacquet,Liverpool,DEF,5.0,88,OK,17.6,0.0,1.0,88.0
Milenković,Nott'm Forest,DEF,5.5,95,OK,17.27,0.0,1.0,95.0
Collins,Brentford,DEF,5.5,103,OK,18.73,0.0,1.0,103.0
De Cuyper,Brighton,DEF,4.5,67,OK,14.89,0.0,1.0,67.0
A.García,Aston Villa,DEF,4.0,4,OK,1.0,0.0,1.0,4.0
Rúben,Man City,DEF,5.5,90,OK,16.36,0.0,1.0,90.0
Khusanov,Man City,DEF,5.5,54,OK,9.82,0.0,1.0,54.0
Hincapie,Arsenal,DEF,5.5,70,OK,12.73,0.0,1.0,70.0
Branthwaite,Everton,DEF,5.5,26,OK,4.73,0.0,1.0,26.0
Robinson,Fulham,DEF,4.5,52,OK,11.56,0.0,1.0,52.0
Colwill,Chelsea,DEF,5.0,6,OK,1.2,0.0,1.0,6.0
Keane,Everton,DEF,5.0,105,OK,21.0,0.0,1.0,105.0
B.Fernandes,Man Utd,MID,12.0,188,OK,15.67,0.0,1.2,225.6
Szoboszlai,Liverpool,MID,7.0,128,OK,18.29,0.0,1.0,128.0
Mbeumo,Man Utd,MID,8.0,118,OK,14.75,0.0,1.0,118.0
Semenyo,Man City,MID,8.5,162,OK,19.06,0.0,1.08,174.96
Tzolis,Arsenal,MID,6.5,109,OK,16.77,0.0,1.0,109.0
Rogers,Chelsea,MID,7.5,135,OK,18.0,0.0,1.0,135.0
Rice,Arsenal,MID,7.5,147,OK,19.6,0.0,1.0,147.0
Ndiaye,Everton,MID,6.0,102,OK,17.0,0.0,1.0,102.0
