Surname,Team,Position,Price,TP,Status,PPM,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score,SPP,Final_Score
Roefs,Sunderland,GKP,4.9,95,OK,19.39,5.0,1.0,95.0,SUN,1147.4761904761904,1186.428571428571,1186.428571428571,0.08,0.0,0.08302227573750755
Pickford,Everton,GKP,5.6,90,OK,16.07,4.0,1.0,90.0,EVE,1159.47619047619,1179.904761904762,1179.904761904762,0.08,0.0,0.07865041569133908
Raya,Arsenal,GKP,5.9,86,OK,14.58,7.0,1.0,86.0,ARS,1128.2857142857142,1184.904761904762,1184.904761904762,0.07,0.0,0.07671502632319255
Kelleher,Brentford,GKP,4.5,81,OK,18.0,15.0,1.0,81.0,BRE,1184.6666666666667,1184.4761904761904,1184.4761904761904,0.07,0.0,0.07724933665675003
Henderson,Crystal Palace,GKP,5.1,79,OK,15.49,9.0,1.0,79.0,CRY,1142.428571428571,1194.6666666666663,1194.6666666666663,0.07,0.0,0.07140066964285716
Vicario,Spurs,GKP,4.8,75,OK,15.62,3.0,1.0,75.0,TOT,1106.904761904762,1152.6666666666667,1152.6666666666667,0.07,0.0,0.06688837478311162
Sánchez,Chelsea,GKP,4.9,74,OK,15.1,2.0,1.0,74.0,CHE,1118.809523809524,1185.190476190476,1185.190476190476,0.06,0.0,0.06361846598899114
Donnarumma,Man City,GKP,5.7,69,OK,12.11,3.0,1.0,69.0,MCI,1149.5714285714284,1191.904761904762,1191.904761904762,0.06,0.0,0.05965241709948062
Verbruggen,Brighton,GKP,4.5,68,OK,15.11,10.0,1.0,68.0,BHA,1144.7142857142858,1174.9999999999998,1174.9999999999998,0.06,0.0,0.06382978723404256
Pope,Newcastle,GKP,5.1,65,OK,12.75,8.0,1.0,65.0,NEW,1117.857142857143,1181.3333333333333,1181.3333333333333,0.06,0.0,0.059762979683972914
Martinez,Aston Villa,GKP,5.0,64,DOUBT,12.8,4.0,1.0,64.0,AVL,1153.428571428571,1161.0,1161.0,0.06,0.0,0.05753660637381568
Leno,Fulham,GKP,4.9,64,OK,13.06,4.0,1.0,64.0,FUL,1132.5238095238096,1203.1904761904764,1203.1904761904764,0.05,0.0,0.05551905647682747
Dúbravka,Burnley,GKP,4.0,63,OK,15.75,4.0,1.0,63.0,BUR,1168.095238095238,1239.0,1239.0,0.05,0.0,0.05310734463276836
A.Becker,Liverpool,GKP,5.4,62,OK,11.48,11.0,1.0,62.0,LIV,1103.190476190476,1165.7619047619046,1165.7619047619046,0.05,0.0,0.059789224296393134
Petrović,Bournemouth,GKP,4.5,57,OK,12.67,2.0,1.0,57.0,BOU,1144.190476190476,1200.6666666666667,1200.6666666666667,0.05,0.0,0.048639644641865626
Sels,Nott'm Forest,GKP,4.6,44,OK,9.57,4.0,1.0,44.0,NFO,1226.0000000000002,1204.2380952380952,1204.2380952380952,0.04,0.0,0.03886274664874056
Areola,West Ham,GKP,4.3,44,OK,10.23,4.0,1.0,44.0,WHU,1160.0952380952378,1174.6666666666667,1174.6666666666667,0.04,0.0,0.0398410896708286
Perri,Leeds,GKP,4.5,43,OK,9.56,3.0,1.0,43.0,LEE,1149.857142857143,1147.904761904762,1147.904761904762,0.04,0.0,0.039288973699493905
Lammens,Man Utd,GKP,5.0,41,OK,8.2,3.0,1.0,41.0,MUN,1221.857142857143,1243.333333333333,1243.333333333333,0.03,0.0,0.034664879356568375
Johnstone,Wolves,GKP,4.4,21,OK,4.77,0.0,1.0,21.0,WOL,1183.5714285714284,1234.904761904762,1234.904761904762,0.02,0.0,0.0170053599660664
Mamardashvili,Liverpool,GKP,4.2,19,OK,4.52,0.0,1.0,19.0,LIV,1103.190476190476,1165.7619047619046,1165.7619047619046,0.02,0.0,0.01629835382541563
José Sá,Wolves,GKP,4.2,19,OK,4.52,7.0,1.0,19.0,WOL,1183.5714285714284,1234.904761904762,1234.904761904762,0.02,0.0,0.01935371919947557
M.Bizot,Aston Villa,GKP,4.2,11,OK,2.62,2.0,1.0,11.0,AVL,1153.428571428571,1161.0,1161.0,0.01,0.0,0.010680447889750215
Trafford,Man City,GKP,4.5,11,OK,2.44,0.0,1.0,11.0,MCI,1149.5714285714284,1191.904761904762,1191.904761904762,0.01,0.0,0.009228925289652417
Bayindir,Man Utd,GKP,4.7,11,OK,2.34,0.0,1.0,11.0,MUN,1221.857142857143,1243.333333333333,1243.333333333333,0.01,0.0,0.008847184986595176
Ramsdale,Newcastle,GKP,4.8,11,OK,2.29,0.0,1.0,11.0,NEW,1117.857142857143,1181.3333333333333,1181.3333333333333,0.01,0.0,0.009311512415349887
