Surname,Team,Position,Price,TP,Status
Gabriel,Arsenal,DEF,7.1,142,OK
J.Timber,Arsenal,DEF,6.4,124,OK
Chalobah,Chelsea,DEF,5.8,124,OK
Guéhi,Man City,DEF,5.2,124,OK
Tarkowski,Everton,DEF,5.7,117,OK
Lacroix,Crystal Palace,DEF,5.1,116,OK
Matheus N.,Man City,DEF,5.4,115,OK
Mukiele,Sunderland,DEF,4.6,114,OK
Virgil,Liverpool,DEF,5.9,111,OK
Senesi,Bournemouth,DEF,4.8,106,OK
Keane,Everton,DEF,4.7,103,OK
Rúben,Man City,DEF,5.5,102,OK
O'Reilly,Man City,DEF,4.9,100,OK
Van de Ven,Spurs,DEF,4.5,100,OK
Cash,Aston Villa,DEF,4.9,99,DOUBT
Konaté,Liverpool,DEF,5.4,99,OK
Muñoz,Crystal Palace,DEF,5.9,98,OK
James,Chelsea,DEF,5.6,97,OK
Thiaw,Newcastle,DEF,5.0,97,OK
Ballard,Sunderland,DEF,4.6,97,OK
Mitchell,Crystal Palace,DEF,5.0,94,OK
Richards,Crystal Palace,DEF,4.4,93,OK
Collins,Brentford,DEF,5.0,92,OK
Van Hecke,Brighton,DEF,4.4,92,OK
Cucurella,Chelsea,DEF,6.1,90,INJURY
Truffert,Bournemouth,DEF,4.5,89,OK
Andersen,Fulham,DEF,4.5,89,OK
Romero,Spurs,DEF,5.0,89,INJURY
Alderete,Sunderland,DEF,4.1,88,OK
Calafiori,Arsenal,DEF,5.6,86,OK
O'Brien,Everton,DEF,4.9,86,INJURY
Dalot,Man Utd,DEF,4.5,86,OK
Saliba,Arsenal,DEF,6.1,84,OK
Konsa,Aston Villa,DEF,4.4,80,OK
N.Williams,Nott'm Forest,DEF,4.7,79,OK
Pedro Porro,Spurs,DEF,5.1,79,INJURY
Lewis-Potter,Brentford,DEF,4.8,77,OK
Gusto,Chelsea,DEF,4.9,77,OK
Rodon,Leeds,DEF,3.9,77,OK
Gvardiol,Man City,DEF,5.9,77,INJURY
Milenković,Nott'm Forest,DEF,5.1,76,OK
Struijk,Leeds,DEF,4.3,74,OK
Dorgu,Man Utd,DEF,4.3,74,INJURY
Hume,Sunderland,DEF,4.5,74,OK
Kayode,Brentford,DEF,4.5,73,OK
Digne,Aston Villa,DEF,4.5,72,OK
Burn,Newcastle,DEF,5.0,70,OK
Van den Berg,Brentford,DEF,4.5,68,OK
Mykolenko,Everton,DEF,4.9,67,OK
Tete,Fulham,DEF,4.5,67,OK
F.Kadıoğlu,Brighton,DEF,4.4,65,OK
Bogle,Leeds,DEF,4.4,65,OK
Murillo,Nott'm Forest,DEF,5.2,64,OK
Dunk,Brighton,DEF,4.5,63,OK
Ajer,Brentford,DEF,4.4,62,OK
Shaw,Man Utd,DEF,4.5,62,OK
S.Bueno,Wolves,DEF,4.4,62,OK
Diouf,West Ham,DEF,4.0,61,OK
H.Bueno,Wolves,DEF,4.3,61,OK
Hill,Bournemouth,DEF,4.0,59,OK
