Team,Gameweek,Opponent,Location,FDR
ARS,GW4,NFO,A,3
ARS,GW5,MCI,A,5
ARS,GW6,NEW,A,3
ARS,GW7,WHU,H,2
ARS,GW8,FUL,A,3
AVL,GW4,EVE,A,2
AVL,GW5,SUN,A,2
AVL,GW6,FUL,H,2
AVL,GW7,BUR,H,1
AVL,GW8,TOT,A,3
BHA,GW4,BOU,A,2
BHA,GW5,TOT,H,3
BHA,GW6,CHE,A,3
BHA,GW7,WOL,H,2
BHA,GW8,NEW,H,3
BOU,GW4,BHA,H,2
BOU,GW5,NEW,H,3
BOU,GW6,LEE,H,1
BOU,GW7,FUL,H,2
BOU,GW8,CRY,A,3
BRE,GW4,CHE,H,3
BRE,GW5,FUL,A,2
BRE,GW6,MUN,H,3
BRE,GW7,MCI,A,5
BRE,GW8,WHU,H,3
BUR,GW4,LIV,H,5
BUR,GW5,NFO,H,3
BUR,GW6,MCI,A,4
BUR,GW7,AVL,A,2
BUR,GW8,LEE,H,1
CHE,GW4,BRE,A,3
CHE,GW5,MUN,A,2
CHE,GW6,BHA,H,3
CHE,GW7,LIV,H,5
CHE,GW8,NFO,A,2
CRY,GW4,SUN,H,1
CRY,GW5,WHU,A,3
CRY,GW6,LIV,H,5
CRY,GW7,EVE,H,3
CRY,GW8,BOU,H,3
EVE,GW4,AVL,H,3
EVE,GW5,LIV,A,5
EVE,GW6,WHU,H,3
EVE,GW7,CRY,A,3
EVE,GW8,MCI,A,4
FUL,GW4,LEE,H,1
FUL,GW5,BRE,H,3
FUL,GW6,AVL,A,3
FUL,GW7,BOU,A,3
FUL,GW8,ARS,H,5
LEE,GW4,FUL,A,3
LEE,GW5,WOL,A,3
LEE,GW6,BOU,A,3
LEE,GW7,TOT,H,3
LEE,GW8,BUR,A,2
LIV,GW4,BUR,A,2
LIV,GW5,EVE,H,2
LIV,GW6,CRY,A,2
LIV,GW7,CHE,A,3
LIV,GW8,MUN,H,4
MCI,GW4,MUN,H,3
MCI,GW5,ARS,H,4
MCI,GW6,BUR,H,1
MCI,GW7,BRE,H,2
MCI,GW8,EVE,H,2
MUN,GW4,MCI,A,4
MUN,GW5,CHE,H,3
MUN,GW6,BRE,A,3
MUN,GW7,SUN,H,1
MUN,GW8,LIV,A,5
NEW,GW4,WOL,H,2
NEW,GW5,BOU,A,2
NEW,GW6,ARS,H,4
NEW,GW7,NFO,H,2
NEW,GW8,BHA,A,3
NFO,GW4,ARS,H,4
NFO,GW5,BUR,A,2
NFO,GW6,SUN,H,1
NFO,GW7,NEW,A,3
NFO,GW8,CHE,H,4
SUN,GW4,CRY,A,3
SUN,GW5,AVL,H,3
SUN,GW6,NFO,A,3
SUN,GW7,MUN,A,3
SUN,GW8,WOL,H,1
TOT,GW4,WHU,A,2
TOT,GW5,BHA,A,3
TOT,GW6,WOL,H,2
TOT,GW7,LEE,A,2
TOT,GW8,AVL,H,3
WHU,GW4,TOT,H,3
WHU,GW5,CRY,H,2
WHU,GW6,EVE,A,2
WHU,GW7,ARS,A,4
WHU,GW8,BRE,A,3
WOL,GW4,NEW,A,3
WOL,GW5,LEE,H,1
WOL,GW6,TOT,A,3
WOL,GW7,BHA,A,3
WOL,GW8,SUN,A,2
