Surname,Team,Price,TP,Position,PPM,Captaincy_Coef,PP,Team_TLA,FDR_Horizon_5GW,Projected_Score
Vicario,Spurs,5.0,21,GKP,4.2,1.0,21.0,TOT,2.4,8.75
Raya,Arsenal,5.5,18,GKP,3.27,1.0,18.0,ARS,3.2,5.62
Pickford,Everton,5.5,18,GKP,3.27,1.0,18.0,EVE,3.6,5.0
Pope,Newcastle,5.0,18,GKP,3.6,1.0,18.0,NEW,2.6,6.92
Sánchez,Chelsea,5.0,17,GKP,3.4,1.0,17.0,CHE,3.0,5.67
Roefs,Sunderland,4.5,17,GKP,3.78,1.0,17.0,SUN,2.6,6.54
Henderson,Crystal Palace,5.0,15,GKP,3.0,1.0,15.0,CRY,3.0,5.0
Petrović,Bournemouth,4.5,13,GKP,2.89,1.0,13.0,BOU,2.2,5.91
Perri,Leeds,4.5,12,GKP,2.67,1.0,12.0,LEE,2.8,4.29
Trafford,Man City,5.0,11,GKP,2.2,1.0,11.0,MCI,2.4,4.58
Dúbravka,Burnley,4.0,10,GKP,2.5,1.0,10.0,BUR,3.0,3.33
A.Becker,Liverpool,5.5,10,GKP,1.82,1.0,10.0,LIV,2.6,3.85
Leno,Fulham,5.0,8,GKP,1.6,1.0,8.0,FUL,3.0,2.67
Hermansen,West Ham,4.5,8,GKP,1.78,1.0,8.0,WHU,2.8,2.86
M.Bizot,Aston Villa,4.5,7,GKP,1.56,1.0,7.0,AVL,2.0,3.5
Kelleher,Brentford,4.5,7,GKP,1.56,1.0,7.0,BRE,3.2,2.19
Sels,Nott'm Forest,5.0,6,GKP,1.2,1.0,6.0,NFO,2.8,2.14
Verbruggen,Brighton,4.5,5,GKP,1.11,1.0,5.0,BHA,2.6,1.92
Bayindir,Man Utd,5.0,5,GKP,1.0,1.0,5.0,MUN,3.2,1.56
José Sá,Wolves,4.5,4,GKP,0.89,1.0,4.0,WOL,2.4,1.67
Martinez,Aston Villa,5.0,2,GKP,0.4,1.0,2.0,AVL,2.0,1.0
Arrizabalaga,Arsenal,4.4,0,GKP,0.0,1.0,0.0,ARS,3.2,0.0
Setford,Arsenal,4.0,0,GKP,0.0,1.0,0.0,ARS,3.2,0.0
