Surname,Team,Position,Price,TP
J.Timber,Arsenal,DEF,5.7,34
Calafiori,Arsenal,DEF,5.7,33
Chalobah,Chelsea,DEF,5.1,30
Guéhi,Crystal Palace,DEF,4.7,29
Senesi,Bournemouth,DEF,4.6,28
Lacroix,Crystal Palace,DEF,5.0,28
Romero,Spurs,DEF,5.0,27
Van de Ven,Spurs,DEF,4.7,27
Livramento,Newcastle,DEF,5.1,25
Muñoz,Crystal Palace,DEF,5.6,24
Gabriel,Arsenal,DEF,6.1,23
Tarkowski,Everton,DEF,5.5,23
Schär,Newcastle,DEF,5.5,23
Burn,Newcastle,DEF,5.0,23
Mitchell,Crystal Palace,DEF,5.0,22
Richards,Crystal Palace,DEF,4.5,22
Virgil,Liverpool,DEF,6.1,22
Trippier,Newcastle,DEF,5.0,21
Pedro Porro,Spurs,DEF,5.6,21
Cucurella,Chelsea,DEF,6.2,20
Rodon,Leeds,DEF,4.0,20
Keane,Everton,DEF,4.5,19
Andersen,Fulham,DEF,4.5,19
Mings,Aston Villa,DEF,4.5,18
Ballard,Sunderland,DEF,4.6,18
Alderete,Sunderland,DEF,4.0,18
Spence,Spurs,DEF,4.5,18
Ekdal,Burnley,DEF,4.0,17
