Team,Gameweek,Opponent,Location,FDR,FDR_A,FDR_D
ARS,GW4,SUN,A,1077,1077,1077
ARS,GW5,BHA,A,1181,1134,1201
ARS,GW6,LEE,H,1201,1174,1201
ARS,GW7,NFO,A,1134,1106,1161
ARS,GW8,EVE,H,1154,1147,1161
AVL,GW4,NFO,H,1174,1174,1174
AVL,GW5,TOT,A,1154,1120,1161
AVL,GW6,BRE,H,1201,1188,1212
AVL,GW7,NEW,A,1113,1120,1106
AVL,GW8,MCI,H,1345,1282,1399
BOU,GW4,BRE,H,1201,1188,1212
BOU,GW5,LIV,H,1230,1201,1345
BOU,GW6,CHE,A,1201,1134,1201
BOU,GW7,SUN,H,1169,1201,1120
BOU,GW8,MUN,A,1201,1188,1251
BRE,GW4,BOU,A,1154,1026,1201
BRE,GW5,CHE,H,1201,1188,1237
BRE,GW6,AVL,A,1169,1147,1188
BRE,GW7,LIV,H,1230,1201,1345
BRE,GW8,HUL,A,1001,1005,1001
BHA,GW4,COV,A,1068,1061,1077
BHA,GW5,ARS,H,1379,1399,1345
BHA,GW6,SUN,A,1077,1077,1077
BHA,GW7,CRY,H,1174,1161,1188
BHA,GW8,LIV,A,1201,1188,1266
CHE,GW4,HUL,H,1035,1061,1005
CHE,GW5,BRE,A,1127,1106,1147
CHE,GW6,BOU,H,1201,1174,1201
CHE,GW7,EVE,A,1147,1147,1147
CHE,GW8,TOT,H,1154,1120,1201
COV,GW4,BHA,H,1201,1201,1212
COV,GW5,NFO,A,1134,1106,1161
COV,GW6,NEW,H,1201,1120,1251
COV,GW7,TOT,A,1154,1120,1161
COV,GW8,FUL,H,1201,1188,1201
CRY,GW4,IPS,H,1077,1091,1061
CRY,GW5,LEE,A,1084,1077,1091
CRY,GW6,NFO,H,1174,1174,1174
CRY,GW7,BHA,A,1181,1134,1201
CRY,GW8,NEW,H,1201,1120,1251
EVE,GW4,TOT,A,1154,1120,1161
EVE,GW5,IPS,H,1077,1091,1061
EVE,GW6,HUL,A,1001,1005,1001
EVE,GW7,CHE,H,1201,1188,1237
EVE,GW8,ARS,A,1273,1329,1224
FUL,GW4,LIV,A,1201,1188,1266
FUL,GW5,MUN,H,1201,1188,1313
FUL,GW6,IPS,A,1026,1044,1005
FUL,GW7,HUL,H,1035,1061,1005
FUL,GW8,COV,A,1068,1061,1077
HUL,GW4,CHE,A,1201,1134,1201
HUL,GW5,NEW,A,1113,1120,1106
HUL,GW6,EVE,H,1154,1147,1161
HUL,GW7,FUL,A,1084,1061,1106
HUL,GW8,BRE,H,1201,1188,1212
IPS,GW4,CRY,A,1147,1134,1161
IPS,GW5,EVE,A,1147,1147,1147
IPS,GW6,FUL,H,1201,1188,1201
IPS,GW7,MCI,A,1212,1201,1313
IPS,GW8,NFO,H,1174,1174,1174
LEE,GW4,NEW,H,1201,1120,1251
LEE,GW5,CRY,H,1174,1161,1188
LEE,GW6,ARS,A,1273,1329,1224
LEE,GW7,MUN,H,1201,1188,1313
LEE,GW8,SUN,A,1077,1077,1077
LIV,GW4,FUL,H,1201,1188,1201
LIV,GW5,BOU,A,1154,1026,1201
LIV,GW6,MCI,H,1345,1282,1399
LIV,GW7,BRE,A,1127,1106,1147
LIV,GW8,BHA,H,1201,1201,1212
MCI,GW4,MUN,A,1201,1188,1251
MCI,GW5,SUN,H,1169,1201,1120
MCI,GW6,LIV,A,1201,1188,1266
MCI,GW7,IPS,H,1077,1091,1061
MCI,GW8,AVL,A,1169,1147,1188
MUN,GW4,MCI,H,1345,1282,1399
MUN,GW5,FUL,A,1084,1061,1106
MUN,GW6,TOT,H,1154,1120,1201
MUN,GW7,LEE,A,1084,1077,1091
MUN,GW8,BOU,H,1201,1174,1201
NEW,GW4,LEE,A,1084,1077,1091
NEW,GW5,HUL,H,1035,1061,1005
NEW,GW6,COV,A,1068,1061,1077
NEW,GW7,AVL,H,1201,1201,1224
NEW,GW8,CRY,A,1147,1134,1161
NFO,GW4,AVL,A,1169,1147,1188
NFO,GW5,COV,H,1127,1091,1161
NFO,GW6,CRY,A,1147,1134,1161
NFO,GW7,ARS,H,1379,1399,1345
NFO,GW8,IPS,A,1026,1044,1005
SUN,GW4,ARS,H,1379,1399,1345
SUN,GW5,MCI,A,1212,1201,1313
SUN,GW6,BHA,H,1201,1201,1212
SUN,GW7,BOU,A,1154,1026,1201
SUN,GW8,LEE,H,1201,1174,1201
TOT,GW4,EVE,H,1154,1147,1161
TOT,GW5,AVL,H,1201,1201,1224
TOT,GW6,MUN,A,1201,1188,1251
TOT,GW7,COV,H,1127,1091,1161
TOT,GW8,CHE,A,1201,1134,1201
