Surname,Team,Position,Price,TP
Vicario,Spurs,GKP,5.1,29
Roefs,Sunderland,GKP,4.5,27
Pope,Newcastle,GKP,5.0,26
Raya,Arsenal,GKP,5.5,24
Pickford,Everton,GKP,5.5,24
Henderson,Crystal Palace,GKP,5.0,21
Sánchez,Chelsea,GKP,5.0,19
Leno,Fulham,GKP,5.0,16
A.Becker,Liverpool,GKP,5.5,16
Petrović,Bournemouth,GKP,4.5,15
Dúbravka,Burnley,GKP,4.0,13
Perri,Leeds,GKP,4.5,12
Trafford,Man City,GKP,4.9,11
Kelleher,Brentford,GKP,4.5,9
Hermansen,West Ham,GKP,4.5,9
Martinez,Aston Villa,GKP,5.0,8
M.Bizot,Aston Villa,GKP,4.5,7
Verbruggen,Brighton,GKP,4.5,7
Bayindir,Man Utd,GKP,5.0,7
Sels,Nott'm Forest,GKP,5.0,7
Donnarumma,Man City,GKP,5.5,6
José Sá,Wolves,GKP,4.5,4
Darlow,Leeds,GKP,4.0,3
Johnstone,Wolves,GKP,4.5,3
Arrizabalaga,Arsenal,GKP,4.4,0
Setford,Arsenal,GKP,4.0,0
Wright,Aston Villa,GKP,4.0,0
Proctor,Aston Villa,GKP,4.0,0
J.Timber,Arsenal,DEF,5.7,34
Calafiori,Arsenal,DEF,5.7,33
Chalobah,Chelsea,DEF,5.1,30
Guéhi,Crystal Palace,DEF,4.7,29
Senesi,Bournemouth,DEF,4.6,28
Lacroix,Crystal Palace,DEF,5.0,28
Romero,Spurs,DEF,5.0,27
Van de Ven,Spurs,DEF,4.7,27
Livramento,Newcastle,DEF,5.1,25
Muñoz,Crystal Palace,DEF,5.6,24
Gabriel,Arsenal,DEF,6.1,23
Tarkowski,Everton,DEF,5.5,23
Schär,Newcastle,DEF,5.5,23
Burn,Newcastle,DEF,5.0,23
Mitchell,Crystal Palace,DEF,5.0,22
Richards,Crystal Palace,DEF,4.5,22
Virgil,Liverpool,DEF,6.1,22
Trippier,Newcastle,DEF,5.0,21
Pedro Porro,Spurs,DEF,5.6,21
Cucurella,Chelsea,DEF,6.2,20
Rodon,Leeds,DEF,4.0,20
Keane,Everton,DEF,4.5,19
Andersen,Fulham,DEF,4.5,19
Mings,Aston Villa,DEF,4.5,18
Ballard,Sunderland,DEF,4.6,18
Alderete,Sunderland,DEF,4.0,18
Spence,Spurs,DEF,4.5,18
Ekdal,Burnley,DEF,4.0,17
Semenyo,Bournemouth,MID,7.5,36
Enzo,Chelsea,MID,6.6,29
Caicedo,Chelsea,MID,5.6,29
Zubimendi,Arsenal,MID,5.4,25
M.Salah,Liverpool,MID,14.5,25
Anthony,Burnley,MID,5.5,24
Grealish,Everton,MID,6.8,24
Cullen,Burnley,MID,5.0,23
Gakpo,Liverpool,MID,7.7,23
L.Paquetá,West Ham,MID,5.9,23
Ndiaye,Everton,MID,6.5,22
Garner,Everton,MID,5.0,21
Tavernier,Bournemouth,MID,5.5,20
Szoboszlai,Liverpool,MID,6.5,20
Ndoye,Nott'm Forest,MID,6.1,19
Johnson,Spurs,MID,7.1,19
P.M.Sarr,Spurs,MID,5.0,19
Sarr,Crystal Palace,MID,6.5,18
Dewsbury-Hall,Everton,MID,5.0,18
Kudus,Spurs,MID,6.6,18
Rice,Arsenal,MID,6.5,17
Reijnders,Man City,MID,5.7,17
Scott,Bournemouth,MID,5.0,16
O.Dango,Brentford,MID,6.0,16
Mitoma,Brighton,MID,6.4,16
Mbeumo,Man Utd,MID,8.1,16
B.Fernandes,Man Utd,MID,9.0,16
Xhaka,Sunderland,MID,5.0,16
Haaland,Man City,FWD,14.2,37
João Pedro,Chelsea,FWD,7.8,33
Ekitiké,Liverpool,FWD,8.8,24
Gyökeres,Arsenal,FWD,9.0,20
Richarlison,Spurs,FWD,6.7,20
Wood,Nott'm Forest,FWD,7.6,18
Evanilson,Bournemouth,FWD,7.0,16
Isidor,Sunderland,FWD,5.5,16
Thiago,Brentford,FWD,6.0,15
Bowen,West Ham,FWD,7.7,15
Foster,Burnley,FWD,5.0,12
Mayenda,Sunderland,FWD,5.5,12
Beto,Everton,FWD,5.4,11
Mateta,Crystal Palace,FWD,7.6,10
Muniz,Fulham,FWD,5.5,10
Wilson,West Ham,FWD,5.9,10
Nmecha,Leeds,FWD,5.0,9
Osula,Newcastle,FWD,5.5,9
Woltemade,Newcastle,FWD,7.0,9
Watkins,Aston Villa,FWD,8.8,8
Welbeck,Brighton,FWD,6.3,5
Barry,Everton,FWD,5.8,5
Raúl,Fulham,FWD,6.3,5
Šeško,Man Utd,FWD,7.4,5
Füllkrug,West Ham,FWD,5.8,5
Delap,Chelsea,FWD,6.3,4
Strand Larsen,Wolves,FWD,6.4,4
Kroupi.Jr,Bournemouth,FWD,4.5,3
