Surname,Team,Position,Price,TP
Vicario,Spurs,GKP,5.1,29
Roefs,Sunderland,GKP,4.5,27
Pope,Newcastle,GKP,5.0,26
Raya,Arsenal,GKP,5.5,24
Pickford,Everton,GKP,5.5,24
Henderson,Crystal Palace,GKP,5.0,21
Sánchez,Chelsea,GKP,5.0,19
Leno,Fulham,GKP,5.0,16
A.Becker,Liverpool,GKP,5.5,16
Petrović,Bournemouth,GKP,4.5,15
Dúbravka,Burnley,GKP,4.0,13
Perri,Leeds,GKP,4.5,12
Trafford,Man City,GKP,4.9,11
Kelleher,Brentford,GKP,4.5,9
Hermansen,West Ham,GKP,4.5,9
Martinez,Aston Villa,GKP,5.0,8
M.Bizot,Aston Villa,GKP,4.5,7
Verbruggen,Brighton,GKP,4.5,7
Bayindir,Man Utd,GKP,5.0,7
Sels,Nott'm Forest,GKP,5.0,7
Donnarumma,Man City,GKP,5.5,6
José Sá,Wolves,GKP,4.5,4
Darlow,Leeds,GKP,4.0,3
Johnstone,Wolves,GKP,4.5,3
Arrizabalaga,Arsenal,GKP,4.4,0
Setford,Arsenal,GKP,4.0,0
Wright,Aston Villa,GKP,4.0,0
Proctor,Aston Villa,GKP,4.0,0
