Surname,Team,Position,Price,TP,Status
Gakpo,Liverpool,MID,7.2,28,OK
B.Fernandes,Man Utd,MID,12.0,27,OK
Cherki,Man City,MID,7.8,25,OK
Ødegaard,Arsenal,MID,6.6,24,OK
Scott,Bournemouth,MID,6.0,24,OK
Saka,Arsenal,MID,9.5,22,OK
Tavernier,Bournemouth,MID,6.0,21,OK
Janelt,Brentford,MID,5.0,21,OK
Palmer,Chelsea,MID,9.6,21,OK
Mbeumo,Man Utd,MID,7.9,21,OK
Rogers,Chelsea,MID,7.6,19,OK
King,Fulham,MID,5.5,19,OK
Stach,Leeds,MID,6.0,19,OK
Lewis-Potter,Brentford,MID,5.5,18,OK
M.Sangaré,Brentford,MID,5.7,18,OK
Elanga,Newcastle,MID,6.1,18,OK
Gibbs-White,Nott'm Forest,MID,7.9,18,OK
Xhaka,Sunderland,MID,5.5,18,OK
Barnes,Newcastle,MID,6.0,17,OK
Hinshelwood,Brighton,MID,6.0,16,OK
Groß,Brighton,MID,5.5,16,OK
Ndiaye,Man City,MID,5.9,16,OK
Schade,Brentford,MID,6.0,15,OK
Dewsbury-Hall,Everton,MID,6.5,15,OK
George,Everton,MID,5.5,15,OK
Szoboszlai,Liverpool,MID,7.0,15,OK
Belloumi,Hull City,MID,5.0,14,OK
Cunha,Man Utd,MID,7.9,14,OK
Mainoo,Man Utd,MID,5.5,14,OK
Rice,Arsenal,MID,7.4,13,OK
Gomez,Brighton,MID,5.0,13,OK
Munoz,Liverpool,MID,6.5,13,OK
Semenyo,Man City,MID,8.4,13,OK
Ndoye,Nott'm Forest,MID,5.5,13,OK
E.Le Fée,Sunderland,MID,5.9,13,OK
Damsgaard,Brentford,MID,5.5,12,OK
Tzolis,Arsenal,MID,6.5,11,OK
Yalcouyé,Brighton,MID,4.5,11,OK
Yeremy,Crystal Palace,MID,5.5,11,OK
Armstrong,Everton,MID,5.0,11,OK
Palacios,Fulham,MID,5.5,11,OK
Slater,Hull City,MID,4.5,11,OK
Enciso,Ipswich Town,MID,5.5,11,OK
Foden,Man City,MID,7.0,11,OK
Willock,Newcastle,MID,5.0,11,OK
Neto,Chelsea,MID,6.5,10,OK
Kamada,Crystal Palace,MID,5.0,10,OK
N.Angulo,Sunderland,MID,5.0,10,OK
Lavia,Chelsea,MID,5.0,9,OK
Ampadu,Leeds,MID,5.5,9,OK
Wirtz,Liverpool,MID,7.4,9,OK
Tonali,Spurs,MID,5.4,9,OK
Lewis-Skelly,Arsenal,MID,5.5,8,OK
Wharton,Crystal Palace,MID,5.5,8,OK
Hackney,Everton,MID,5.5,8,OK
Lukić,Ipswich Town,MID,5.0,8,OK
Clarke,Ipswich Town,MID,5.5,8,OK
Fatawu,Ipswich Town,MID,5.5,8,OK
Anderson,Man City,MID,6.3,8,OK
Tielemans,Man Utd,MID,5.9,8,OK
