Surname,Team,Position,CP,SP,PP,Status
Dubravka,Spurs,GKP,0.0,0.0,0.0,OK
Tzolakis,Hull City,GKP,4.6,4.6,4.6,OK
Calafiori,Arsenal,DEF,5.7,5.7,5.7,OK
Thomas,Coventry City,DEF,4.0,4.0,4.0,OK
Tarkowski,Everton,DEF,6.0,6.0,6.0,OK
Egan,Hull City,DEF,4.1,4.1,4.1,OK
Ajayi,Hull City,DEF,4.1,4.1,4.1,OK
Saka,Arsenal,MID,9.5,9.5,9.5,OK
Stach,Leeds,MID,6.0,6.0,6.0,OK
Cherki,Man City,MID,7.8,7.8,7.8,OK
B.Fernandes,Man Utd,MID,12.0,12.0,12.0,OK
Yalcouyé,Brighton,MID,4.5,4.5,4.5,OK
João Pedro,Chelsea,FWD,7.7,7.7,7.7,OK
Walle Egeli,Ipswich Town,FWD,4.5,4.5,4.5,OK
Haaland,Man City,FWD,15.5,15.5,15.5,OK
