Surname,Team,Position,Price,TP,PPM,Captaincy_Coef,PP,Team_TLA,FDR_Horizon_5GW,Projected_Score
Pope,Newcastle,GKP,5.0,32,6.4,1.0,32.0,NEW,2.8,11.43
Vicario,Spurs,GKP,5.1,30,5.88,1.0,30.0,TOT,2.4,12.5
Roefs,Sunderland,GKP,4.5,29,6.44,1.0,29.0,SUN,2.6,11.15
Raya,Arsenal,GKP,5.5,26,4.73,1.0,26.0,ARS,2.2,11.82
Pickford,Everton,GKP,5.5,25,4.55,1.0,25.0,EVE,2.8,8.93
Henderson,Crystal Palace,GKP,5.0,22,4.4,1.0,22.0,CRY,3.4,6.47
Petrović,Bournemouth,GKP,4.5,21,4.67,1.0,21.0,BOU,2.4,8.75
A.Becker,Liverpool,GKP,5.5,18,3.27,1.0,18.0,LIV,3.0,6.0
Dúbravka,Burnley,GKP,4.0,17,4.25,1.0,17.0,BUR,3.2,5.31
Leno,Fulham,GKP,5.0,17,3.4,1.0,17.0,FUL,2.8,6.07
Sánchez,Chelsea,GKP,5.0,16,3.2,1.0,16.0,CHE,2.8,5.71
Perri,Leeds,GKP,4.5,12,2.67,1.0,12.0,LEE,2.0,6.0
Martinez,Aston Villa,GKP,5.0,11,2.2,1.0,11.0,AVL,3.4,3.24
Trafford,Man City,GKP,4.9,11,2.24,1.0,11.0,MCI,2.2,5.0
Kelleher,Brentford,GKP,4.5,10,2.22,1.0,10.0,BRE,3.6,2.78
Sels,Nott'm Forest,GKP,5.0,10,2.0,1.0,10.0,NFO,2.6,3.85
Bayindir,Man Utd,GKP,5.0,9,1.8,1.0,9.0,MUN,2.8,3.21
Hermansen,West Ham,GKP,4.5,9,2.0,1.0,9.0,WHU,2.8,3.21
Verbruggen,Brighton,GKP,4.5,8,1.78,1.0,8.0,BHA,2.4,3.33
M.Bizot,Aston Villa,GKP,4.5,7,1.56,1.0,7.0,AVL,3.4,2.06
Donnarumma,Man City,GKP,5.6,7,1.25,1.0,7.0,MCI,2.2,3.18
Darlow,Leeds,GKP,4.0,6,1.5,1.0,6.0,LEE,2.0,3.0
José Sá,Wolves,GKP,4.5,5,1.11,1.0,5.0,WOL,2.2,2.27
Johnstone,Wolves,GKP,4.5,3,0.67,1.0,3.0,WOL,2.2,1.36
Jörgensen,Chelsea,GKP,4.4,1,0.23,1.0,1.0,CHE,2.8,0.36
Areola,West Ham,GKP,4.4,1,0.23,1.0,1.0,WHU,2.8,0.36
Arrizabalaga,Arsenal,GKP,4.4,0,0.0,1.0,0.0,ARS,2.2,0.0
Chalobah,Chelsea,DEF,5.1,38,7.45,1.2,45.6,CHE,2.8,16.29
Senesi,Bournemouth,DEF,4.8,37,7.71,1.0,37.0,BOU,2.4,15.42
Guéhi,Crystal Palace,DEF,4.7,36,7.66,1.0,36.0,CRY,3.4,10.59
Calafiori,Arsenal,DEF,5.7,35,6.14,1.2,42.0,ARS,2.2,19.09
J.Timber,Arsenal,DEF,5.8,35,6.03,1.0,35.0,ARS,2.2,15.91
Burn,Newcastle,DEF,5.0,32,6.4,1.0,32.0,NEW,2.8,11.43
Livramento,Newcastle,DEF,5.1,31,6.08,1.0,31.0,NEW,2.8,11.07
Lacroix,Crystal Palace,DEF,5.1,30,5.88,1.0,30.0,CRY,3.4,8.82
Mitchell,Crystal Palace,DEF,5.0,30,6.0,1.0,30.0,CRY,3.4,8.82
Romero,Spurs,DEF,5.1,29,5.69,1.0,29.0,TOT,2.4,12.08
Van de Ven,Spurs,DEF,4.7,28,5.96,1.0,28.0,TOT,2.4,11.67
Muñoz,Crystal Palace,DEF,5.6,26,4.64,1.0,26.0,CRY,3.4,7.65
Richards,Crystal Palace,DEF,4.5,26,5.78,1.0,26.0,CRY,3.4,7.65
Tarkowski,Everton,DEF,5.5,26,4.73,1.0,26.0,EVE,2.8,9.29
Virgil,Liverpool,DEF,6.1,26,4.26,1.0,26.0,LIV,3.0,8.67
Gabriel,Arsenal,DEF,6.1,25,4.1,1.0,25.0,ARS,2.2,11.36
Cash,Aston Villa,DEF,4.6,25,5.43,1.0,25.0,AVL,3.4,7.35
Truffert,Bournemouth,DEF,4.5,24,5.33,1.0,24.0,BOU,2.4,10.0
Andersen,Fulham,DEF,4.5,23,5.11,1.0,23.0,FUL,2.8,8.21
Schär,Newcastle,DEF,5.5,23,4.18,1.0,23.0,NEW,2.8,8.21
Mings,Aston Villa,DEF,4.5,22,4.89,1.0,22.0,AVL,3.4,6.47
Rodon,Leeds,DEF,4.0,22,5.5,1.0,22.0,LEE,2.0,11.0
Alderete,Sunderland,DEF,4.0,22,5.5,1.0,22.0,SUN,2.6,8.46
