Surname,Team,Position,Price,TP,Status,PPM,Raw_TP,Raw_Form,Adjusted_Form,Form_Efficiency,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score,SPP,Final_Score
Tzolakis,Hull City,GKP,4.6,34,OK,7.39,34,28.0,32.43,1.64,28.0,1.0,34.0,HUL,1135.7142857142858,1148.6666666666663,1148.6666666666663,0.03,0.0,0.04936244921648289
Raya,Arsenal,GKP,6.0,30,OK,5.0,30,29.0,34.59,1.69,29.0,1.0,30.0,ARS,1149.9047619047617,1182.6190476190477,1182.6190476190477,0.03,0.0,0.04584147372659553
Trafford,Leeds,GKP,5.0,28,OK,5.6,28,18.0,21.83,1.07,18.0,1.0,28.0,LEE,1220.6190476190477,1220.9047619047617,1220.9047619047617,0.02,0.0,0.03544993954522408
A.Becker,Liverpool,GKP,5.5,27,OK,4.91,27,19.0,22.77,1.07,19.0,1.0,27.0,LIV,1232.6190476190477,1295.8095238095236,1295.8095238095236,0.02,0.0,0.03313681464059974
Pickford,Everton,GKP,5.5,25,OK,4.55,25,17.0,19.87,1.0,17.0,1.0,25.0,EVE,1109.9047619047617,1106.6666666666663,1106.6666666666663,0.02,0.0,0.035158734939759045
Verbruggen,Brighton,GKP,4.5,23,OK,5.11,23,17.0,21.2,1.02,17.0,1.0,23.0,BHA,1129.952380952381,1159.3333333333333,1159.3333333333333,0.02,0.0,0.03263944795859689
Kelleher,Brentford,GKP,5.0,20,OK,4.0,20,14.0,15.99,0.81,14.0,1.0,20.0,BRE,1141.5238095238096,1197.952380952381,1197.952380952381,0.02,0.0,0.026038597607027862
Donnarumma,Man City,GKP,5.5,19,OK,3.45,19,17.0,20.08,0.99,17.0,1.0,19.0,MCI,1156.380952380952,1195.904761904762,1195.904761904762,0.02,0.0,0.02764099705343633
Leno,Fulham,GKP,4.5,18,OK,4.0,18,15.0,18.8,0.9,15.0,1.0,18.0,FUL,1063.9047619047617,1044.428571428571,1044.428571428571,0.02,0.0,0.02983449596498428
Kinsky,Spurs,GKP,4.5,18,OK,4.0,18,16.0,19.2,0.94,16.0,1.0,18.0,TOT,1149.333333333333,1208.809523809524,1208.809523809524,0.01,0.0,0.026009060468780768
Suzuki,Aston Villa,GKP,5.0,16,OK,3.2,16,14.0,16.06,0.81,14.0,1.0,16.0,AVL,1185.2380952380952,1214.285714285714,1214.285714285714,0.01,0.0,0.02243458823529412
Rushworth,Coventry City,GKP,4.5,16,OK,3.56,16,5.0,6.05,0.29,5.0,1.0,16.0,COV,1138.7142857142856,1205.0,1205.0,0.01,0.0,0.01679253112033195
Horníček,Newcastle,GKP,5.0,14,OK,2.8,14,11.0,12.75,0.63,11.0,1.0,14.0,NEW,1112.9523809523807,1133.3809523809523,1133.3809523809523,0.01,0.0,0.020227091298684927
Sels,Nott'm Forest,GKP,5.0,14,OK,2.8,14,12.0,14.34,0.72,12.0,1.0,14.0,NFO,1188.6190476190473,1192.5238095238096,1192.5238095238096,0.01,0.0,0.020157249530807008
Lammens,Man Utd,GKP,4.9,11,OK,2.24,11,7.0,8.37,0.39,7.0,1.0,11.0,MUN,1122.6666666666663,1175.904761904762,1175.904761904762,0.01,0.0,0.014337045436138332
Roefs,Sunderland,GKP,4.9,11,OK,2.24,11,11.0,13.4,0.65,11.0,1.0,11.0,SUN,1141.5238095238094,1196.142857142857,1196.142857142857,0.01,0.0,0.01703809865042398
Petrović,Bournemouth,GKP,4.5,9,OK,2.0,9,7.0,8.2,0.42,7.0,1.0,9.0,BOU,1157.1904761904764,1179.5238095238094,1179.5238095238094,0.01,0.0,0.012496568429551878
