Surname,Team,Position,Price,TP,Status,PPM,Raw_TP,Raw_Form,Adjusted_Form,Form_Efficiency,Form_Factor,Captaincy_Coef,PP,Team_TLA,FDR_A_Horizon_5GW,FDR_D_Horizon_5GW,Effective_FDR_Horizon_5GW,Projected_Score
Tzolakis,Hull City,GKP,4.6,34,OK,7.39,34,28.0,32.43,1.64,28.0,1.0,34.0,HUL,1135.7142857142858,1148.6666666666665,1148.6666666666665,0.03
Raya,Arsenal,GKP,6.0,30,OK,5.0,30,29.0,34.59,1.69,29.0,1.0,30.0,ARS,1149.9047619047617,1182.6190476190475,1182.6190476190475,0.03
Trafford,Leeds,GKP,5.0,28,OK,5.6,28,18.0,21.83,1.07,18.0,1.0,28.0,LEE,1220.6190476190475,1220.9047619047617,1220.9047619047617,0.02
A.Becker,Liverpool,GKP,5.5,27,OK,4.91,27,19.0,22.77,1.07,19.0,1.0,27.0,LIV,1232.6190476190477,1295.8095238095236,1295.8095238095236,0.02
Pickford,Everton,GKP,5.5,25,OK,4.55,25,17.0,19.87,1.0,17.0,1.0,25.0,EVE,1109.9047619047617,1106.6666666666665,1106.6666666666665,0.02
Verbruggen,Brighton,GKP,4.5,23,OK,5.11,23,17.0,21.2,1.02,17.0,1.0,23.0,BHA,1129.952380952381,1159.3333333333333,1159.3333333333333,0.02
Kelleher,Brentford,GKP,5.0,20,OK,4.0,20,14.0,15.99,0.81,14.0,1.0,20.0,BRE,1141.5238095238096,1197.952380952381,1197.952380952381,0.02
Donnarumma,Man City,GKP,5.5,19,OK,3.45,19,17.0,20.08,0.99,17.0,1.0,19.0,MCI,1156.380952380952,1195.904761904762,1195.904761904762,0.02
Leno,Fulham,GKP,4.5,18,OK,4.0,18,15.0,18.8,0.9,15.0,1.0,18.0,FUL,1063.9047619047617,1044.4285714285713,1044.4285714285713,0.02
Kinsky,Spurs,GKP,4.5,18,OK,4.0,18,16.0,19.2,0.94,16.0,1.0,18.0,TOT,1149.333333333333,1208.8095238095239,1208.8095238095239,0.01
Suzuki,Aston Villa,GKP,5.0,16,OK,3.2,16,14.0,16.06,0.81,14.0,1.0,16.0,AVL,1185.2380952380952,1214.285714285714,1214.285714285714,0.01
Rushworth,Coventry City,GKP,4.5,16,OK,3.56,16,5.0,6.05,0.29,5.0,1.0,16.0,COV,1138.7142857142856,1205.0,1205.0,0.01
Horníček,Newcastle,GKP,5.0,14,OK,2.8,14,11.0,12.75,0.63,11.0,1.0,14.0,NEW,1112.9523809523807,1133.3809523809523,1133.3809523809523,0.01
Sels,Nott'm Forest,GKP,5.0,14,OK,2.8,14,12.0,14.34,0.72,12.0,1.0,14.0,NFO,1188.6190476190473,1192.5238095238096,1192.5238095238096,0.01
Lammens,Man Utd,GKP,4.9,11,OK,2.24,11,7.0,8.37,0.39,7.0,1.0,11.0,MUN,1122.6666666666665,1175.904761904762,1175.904761904762,0.01
Roefs,Sunderland,GKP,4.9,11,OK,2.24,11,11.0,13.4,0.65,11.0,1.0,11.0,SUN,1141.5238095238094,1196.142857142857,1196.142857142857,0.01
Petrović,Bournemouth,GKP,4.5,9,OK,2.0,9,7.0,8.2,0.42,7.0,1.0,9.0,BOU,1157.1904761904764,1179.5238095238094,1179.5238095238094,0.01
Martinez,Chelsea,GKP,5.0,9,OK,1.8,9,7.0,7.76,0.39,7.0,1.0,9.0,CHE,1156.5714285714284,1192.9047619047617,1192.9047619047617,0.01
Benitez,Crystal Palace,GKP,4.5,8,OK,1.78,8,2.0,2.18,0.11,2.0,1.0,8.0,CRY,1152.9047619047617,1198.3333333333333,1198.3333333333333,0.01
Scherpen,Ipswich Town,GKP,4.5,7,OK,1.56,7,7.0,8.66,0.42,7.0,1.0,7.0,IPS,1171.0,1204.7619047619046,1204.7619047619046,0.01
Henderson,Crystal Palace,GKP,5.0,5,OK,1.0,5,5.0,6.03,0.29,5.0,1.0,5.0,CRY,1152.9047619047617,1198.3333333333333,1198.3333333333333,0.0
Walton,Ipswich Town,GKP,4.4,2,OK,0.45,2,2.0,2.41,0.12,2.0,1.0,2.0,IPS,1171.0,1204.7619047619046,1204.7619047619046,0.0
M.Bizot,Aston Villa,GKP,4.5,1,OK,0.22,1,1.0,1.34,0.06,1.0,1.0,1.0,AVL,1185.2380952380952,1214.285714285714,1214.285714285714,0.0
Arrizabalaga,Arsenal,GKP,4.9,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,ARS,1149.9047619047617,1182.6190476190475,1182.6190476190475,0.0
Meslier,Arsenal,GKP,4.9,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,ARS,1149.9047619047617,1182.6190476190475,1182.6190476190475,0.0
Wright,Aston Villa,GKP,4.0,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,AVL,1185.2380952380952,1214.285714285714,1214.285714285714,0.0
Forster,Bournemouth,GKP,4.0,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,BOU,1157.1904761904764,1179.5238095238094,1179.5238095238094,0.0
Di Gregorio,Bournemouth,GKP,4.5,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,BOU,1157.1904761904764,1179.5238095238094,1179.5238095238094,0.0
Valdimarsson,Brentford,GKP,4.5,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,BRE,1141.5238095238096,1197.952380952381,1197.952380952381,0.0
Balcombe,Brentford,GKP,4.0,0,OK,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,BRE,1141.5238095238096,1197.952380952381,1197.952380952381,0.0
Tarkowski,Everton,DEF,6.1,43,OK,7.05,43,29.0,34.93,1.7,29.0,1.0,43.0,EVE,1109.9047619047617,1106.6666666666665,1106.6666666666665,0.04
Bogle,Leeds,DEF,4.6,42,OK,9.13,42,37.0,45.01,2.21,37.0,1.0,42.0,LEE,1220.6190476190475,1220.9047619047617,1220.9047619047617,0.03
De Cuyper,Brighton,DEF,4.9,38,OK,7.76,38,32.0,39.52,1.91,32.0,1.0,38.0,BHA,1129.952380952381,1159.3333333333333,1159.3333333333333,0.03
Gvardiol,Man City,DEF,5.7,37,OK,6.49,37,33.0,38.58,1.93,33.0,1.0,37.0,MCI,1156.380952380952,1195.904761904762,1195.904761904762,0.03
Vuskovic,Brighton,DEF,5.0,32,OK,6.4,32,24.0,28.2,1.44,24.0,1.0,32.0,BHA,1129.952380952381,1159.3333333333333,1159.3333333333333,0.03
Hall,Newcastle,DEF,5.2,31,OK,5.96,31,18.0,21.06,1.03,18.0,1.0,31.0,NEW,1112.9523809523807,1133.3809523809523,1133.3809523809523,0.03
Guéhi,Man City,DEF,6.0,30,OK,5.0,30,26.0,30.66,1.52,26.0,1.0,30.0,MCI,1156.380952380952,1195.904761904762,1195.904761904762,0.03
Calafiori,Arsenal,DEF,5.8,29,OK,5.0,29,28.0,33.66,1.63,28.0,1.0,29.0,ARS,1149.9047619047617,1182.6190476190475,1182.6190476190475,0.02
Branthwaite,Everton,DEF,5.5,27,OK,4.91,27,19.0,22.31,1.11,19.0,1.0,27.0,EVE,1109.9047619047617,1106.6666666666665,1106.6666666666665,0.02
Mykolenko,Everton,DEF,4.6,27,OK,5.87,27,22.0,25.29,1.29,22.0,1.0,27.0,EVE,1109.9047619047617,1106.6666666666665,1106.6666666666665,0.02
Ajayi,Hull City,DEF,4.2,27,OK,6.43,27,26.0,29.53,1.52,26.0,1.0,27.0,HUL,1135.7142857142858,1148.6666666666665,1148.6666666666665,0.02
Muharemović,Leeds,DEF,5.0,27,OK,5.4,27,21.0,25.4,1.25,21.0,1.0,27.0,LEE,1220.6190476190475,1220.9047619047617,1220.9047619047617,0.02
Egan,Hull City,DEF,4.1,26,OK,6.34,26,25.0,29.05,1.46,25.0,1.0,26.0,HUL,1135.7142857142858,1148.6666666666665,1148.6666666666665,0.02
Justin,Leeds,DEF,4.5,26,OK,5.78,26,18.0,21.9,1.07,18.0,1.0,26.0,LEE,1220.6190476190475,1220.9047619047617,1220.9047619047617,0.02
Gabriel,Arsenal,DEF,8.0,25,OK,3.12,25,24.0,28.8,1.4,24.0,1.0,25.0,ARS,1149.9047619047617,1182.6190476190475,1182.6190476190475,0.02
Mendy,Hull City,DEF,4.1,25,OK,6.1,25,25.0,28.09,1.46,25.0,1.0,25.0,HUL,1135.7142857142858,1148.6666666666665,1148.6666666666665,0.02
Davis,Ipswich Town,DEF,4.0,25,OK,6.25,25,23.0,27.79,1.37,23.0,1.0,25.0,IPS,1171.0,1204.7619047619046,1204.7619047619046,0.02
Virgil,Liverpool,DEF,6.5,25,OK,3.85,25,19.0,22.77,1.07,19.0,1.0,25.0,LIV,1232.6190476190477,1295.8095238095236,1295.8095238095236,0.02
Thomas,Coventry City,DEF,4.0,24,OK,6.0,24,15.0,18.37,0.87,15.0,1.0,24.0,COV,1138.7142857142856,1205.0,1205.0,0.02
Mitchell,Crystal Palace,DEF,4.5,24,OK,5.33,24,17.0,18.07,0.97,17.0,1.0,24.0,CRY,1152.9047619047617,1198.3333333333333,1198.3333333333333,0.02
Giles,Hull City,DEF,4.0,24,OK,6.0,24,24.0,27.84,1.41,24.0,1.0,24.0,HUL,1135.7142857142858,1148.6666666666665,1148.6666666666665,0.02
Jacquet,Liverpool,DEF,5.0,24,OK,4.8,24,18.0,20.83,1.01,18.0,1.0,24.0,LIV,1232.6190476190477,1295.8095238095236,1295.8095238095236,0.02
Van Hecke,Spurs,DEF,4.9,24,OK,4.9,24,18.0,21.4,1.06,18.0,1.0,24.0,TOT,1149.333333333333,1208.8095238095239,1208.8095238095239,0.02
Kayode,Brentford,DEF,4.6,23,OK,5.0,23,17.0,18.86,0.99,17.0,1.0,23.0,BRE,1141.5238095238096,1197.952380952381,1197.952380952381,0.02
Murillo,Nott'm Forest,DEF,5.5,23,OK,4.18,23,19.0,22.73,1.14,19.0,1.0,23.0,NFO,1188.6190476190473,1192.5238095238096,1192.5238095238096,0.02
Dunk,Brighton,DEF,4.5,22,OK,4.89,22,23.0,28.73,1.38,23.0,1.0,22.0,BHA,1129.952380952381,1159.3333333333333,1159.3333333333333,0.02
Araujo,Liverpool,DEF,5.4,22,OK,4.07,22,15.0,18.02,0.84,15.0,1.0,22.0,LIV,1232.6190476190477,1295.8095238095236,1295.8095238095236,0.02
