Surname,Team,Price,TP
Enzo,Chelsea,6.6,25
Semenyo,Bournemouth,7.4,23
Grealish,Everton,6.7,22
Anthony,Burnley,5.5,21
L.Paquetá,West Ham,5.9,21
Cullen,Burnley,5,20
Gakpo,Liverpool,7.7,20
Tavernier,Bournemouth,5.5,18
Sarr,Crystal Palace,6.5,18
Johnson,Spurs,7.1,18
Caicedo,Chelsea,5.5,17
Ndiaye,Everton,6.5,17
Szoboszlai,Liverpool,6.5,17
Ndoye,Nott'm Forest,6.1,17
Rice,Arsenal,6.5,16
Dewsbury-Hall,Everton,5,16
Garner,Everton,5,16
M.Salah,Liverpool,14.5,16
O.Dango,Brentford,6,15
Kudus,Spurs,6.6,15
Reijnders,Man City,5.7,14
Mbeumo,Man Utd,8.1,14
B.Fernandes,Man Utd,9,14
Hudson-Odoi,Nott'm Forest,6,14
